Clicker ID,L1710051355_Q1,L1710051355_Q2,L1710051355_Q3,L1710051355_Q4,L1710051355_Q5,L1710051355_Q6,L1710051355_Q7,L1710051355_Q8,L1710051355_Q9,L1710051355_Q10,L1710051355_Q11,L1710051355_Q12,L1710051355_Q13,L1710051355_Q14,L1710051355_Q15,L1710051355_Q16,L1710051355_Q17
#012CF9D4,C,C,C,C,D,D,D,C,B,C,C,D,D,D,C,A,A
#8219DE45,B,A,C,C,B,D,C,B,B,B,E,D,D,D,C,B,A
#8273D829,A,A,A,B,C,,A,C,C,C,C,B,D,D,A,A,B
#82F23545,B,B,C,E,E,E,C,C,B,B,A,D,D,D,C,A,A
#837DAA54,C,C,B,C,A,D,B,B,A,C,A,C,B,D,E,D,B
#839D1D03,A,A,C,E,B,D,C,C,B,B,A,B,D,D,E,A,A
#84522BFD,A,A,C,C,B,D,C,C,B,B,A,E,D,D,E,B,B
#8477798A,C,C,C,C,A,C,B,B,B,B,A,C,A,C,B,A,A
#84E9204D,A,A,C,C,D,D,C,C,B,B,A,B,D,D,C,A,B
#853BB20C,A,,C,C,C,D,C,C,A,B,C,D,D,D,C,B,
#85FB740A,A,A,C,C,D,D,C,C,C,B,A,E,D,D,C,B,A
#893F3385,E,E,C,C,B,B,C,C,B,B,A,E,D,D,D,A,A
#8954B36E,A,A,C,C,E,E,C,C,B,B,A,C,D,D,C,B,B
#8A1433AD,,,C,C,A,D,C,C,B,B,A,A,D,D,C,A,A
#8A500CD6,E,B,D,C,A,B,C,C,B,B,A,C,D,D,C,B,B
#8AAEF8DC,A,A,C,C,D,D,A,D,A,A,A,D,D,D,C,A,A
#8DF1DEA2,C,A,C,E,D,D,D,D,B,B,A,C,D,D,C,B,A
#8DF2AFD0,A,A,B,C,B,,A,B,B,B,C,B,,D,C,D,D
#8DFDB2C2,,,,,D,D,C,C,A,A,B,D,D,D,C,C,B
#8E0F70F1,E,A,E,E,D,D,B,C,A,B,B,C,D,C,C,B,B
#8E155FC4,A,A,A,C,D,D,B,C,B,B,A,D,D,D,D,E,A
#8E6C6A88,A,A,A,C,D,D,B,,B,B,A,E,D,D,C,A,A
#8E85D6DD,A,A,C,C,A,C,A,C,B,B,A,D,D,C,A,A,A
#8ED21D41,A,,C,,D,D,C,C,B,B,C,A,D,D,C,B,B
#8EE298F4,,,A,C,B,E,C,E,C,B,A,C,D,D,E,A,A
#8F5175AB,A,A,B,,D,A,E,C,C,C,A,D,D,D,C,B,A
#90348327,A,A,C,C,E,E,C,C,B,B,A,D,D,D,C,A,A
#91177EF8,A,A,C,C,B,,A,A,B,B,C,C,D,C,B,D,C
#9139CF67,,C,C,C,A,A,C,C,A,B,A,E,E,D,C,D,E
#9177E600,B,A,E,E,D,D,C,,B,B,B,D,D,D,C,B,B
#969B636E,A,A,E,E,C,C,C,C,C,C,A,D,D,D,C,D,D
#969BB8B5,D,A,C,C,A,B,A,C,B,B,D,D,D,D,C,A,A
#96A695A5,B,A,C,E,D,D,E,E,B,B,A,E,D,D,C,A,A
#96B4C9EB,A,A,C,C,D,D,C,C,A,B,A,D,D,D,C,A,A
#96DA1F53,B,C,C,,B,E,C,C,C,C,C,D,D,D,E,D,D
#97CA3964,B,A,C,,A,A,D,D,B,B,A,E,D,D,C,B,A
#9811840D,A,A,C,E,B,D,D,D,B,B,A,B,D,D,C,A,A
#98305BF3,,A,A,D,D,D,C,C,B,B,A,C,,D,A,A,A
#98B13C15,A,A,C,E,D,E,D,D,B,B,E,D,D,D,C,B,B
#98FDD1B4,,,,B,A,A,C,C,B,C,A,D,E,D,,D,D
#993DD074,A,A,E,C,D,D,C,C,C,C,A,D,D,D,C,B,B
#998DD0C4,,,,B,C,D,A,B,A,B,B,A,D,A,A,A,B
#99964649,C,B,C,C,A,C,B,C,C,C,C,D,,C,D,E,A
#9A2C2593,A,A,A,A,D,D,C,E,B,B,C,C,D,D,B,B,B
#9A2EF246,,,A,C,E,E,C,C,C,C,C,C,C,D,C,A,A
#9A2EFB4F,A,A,E,E,D,D,D,D,,B,E,A,D,D,C,A,A
#9A33D871,E,,D,C,D,D,C,C,D,B,A,D,D,D,C,A,D
#9A3DE344,B,A,A,C,C,B,C,C,D,C,A,C,D,D,C,B,A
#9A55F639,D,A,B,E,A,,C,,B,C,,C,,D,C,C,D
#9A626991,A,A,C,C,E,E,B,E,C,B,C,D,D,D,C,A,
#9A73B35A,B,A,C,C,E,E,C,C,B,B,A,D,D,D,E,D,B
#9A7D6285,A,A,C,,C,D,C,D,B,B,A,C,C,D,C,D,A
#9A803329,B,,C,C,C,,C,C,B,B,A,D,,B,B,C,
#9A8BA1B0,A,A,C,C,A,A,A,C,C,B,A,D,D,D,C,E,B
#9B71C228,A,A,C,C,D,D,A,A,B,B,A,B,D,D,C,D,A
#9B78D033,B,A,C,C,A,D,C,C,C,C,A,D,D,D,C,A,A
#9B7909EB,A,A,C,C,A,E,A,C,C,B,A,C,C,D,C,D,A
#9D5AC80F,A,A,C,C,B,B,C,C,D,D,C,C,D,B,B,B,B
#9D6742B8,A,A,C,C,D,D,C,B,E,B,A,C,A,D,C,B,B
#9D799175,A,A,C,,C,E,C,C,B,D,A,C,C,D,C,A,A
#9D958D85,A,A,C,C,E,E,C,C,D,E,B,D,,D,D,D,D
#9D9F494B,C,A,C,C,D,D,C,C,B,C,C,D,D,D,C,E,B
#9DAE0734,A,A,C,C,D,E,C,E,A,A,A,D,D,D,C,A,A
#9F216ED0,A,,C,C,E,E,C,D,B,B,C,D,D,D,C,A,A
#9F3272DF,B,A,C,C,E,D,C,C,B,B,A,E,A,D,A,B,B
#9F345EF5,A,A,C,C,D,D,D,D,C,B,A,C,C,D,C,A,A
#A024FD79,B,,C,E,C,C,C,C,B,B,B,C,D,D,C,B,B
#A027A621,A,,C,,C,C,C,B,B,C,B,C,E,D,C,B,
