Clicker ID,L1710101353_Q1,L1710101353_Q2,L1710101353_Q3,L1710101353_Q4,L1710101353_Q5,L1710101353_Q6,L1710101353_Q7,L1710101353_Q8,L1710101353_Q9,L1710101353_Q10,L1710101353_Q11,L1710101353_Q12,L1710101353_Q13,L1710101353_Q14,L1710101353_Q15,L1710101353_Q16
#012CF9D4,D,D,D,,B,B,E,E,C,D,E,D,E,B,B,A
#21F35381,D,D,D,C,B,B,B,B,A,E,D,D,C,C,B,A
#820AFE76,,,B,C,A,A,A,B,B,C,D,E,E,B,B,B
#8273D829,A,A,A,A,B,B,A,A,A,A,D,A,D,B,B,A
#82F23545,D,D,C,C,A,B,B,B,D,E,E,C,E,B,B,A
#837DAA54,,,A,B,B,B,D,D,D,D,D,E,D,A,A,A
#839D1D03,D,D,C,C,B,B,B,B,D,C,D,D,D,B,B,A
#8425BE1F,A,,A,,A,,A,A,,,,,A,A,A,A
#84522BFD,D,D,C,C,A,A,B,B,D,C,C,D,E,D,B,A
#84E9204D,D,D,C,C,A,A,A,,D,C,D,E,E,B,B,A
#85FB740A,D,D,A,E,A,B,D,B,C,B,D,C,E,B,B,A
#893F3385,A,D,A,A,A,B,B,B,C,C,E,B,C,A,B,E
#8954B36E,D,D,C,C,B,B,B,B,C,C,D,E,E,B,B,A
#8A1433AD,,,,,E,A,A,B,B,B,D,D,D,B,B,A
#8A500CD6,D,D,C,C,A,A,A,B,B,E,D,D,D,B,B,A
#8AAEF8DC,A,D,C,C,A,A,B,B,D,D,D,D,E,B,B,A
#8DF1DEA2,D,D,C,C,A,B,B,B,E,B,E,C,C,B,B,A
#8DF2AFD0,D,D,D,B,B,B,A,A,B,B,D,C,C,B,B,A
#8DFDB2C2,D,D,D,D,D,D,A,A,B,B,B,C,C,D,B,D
#8E0F70F1,D,D,A,C,A,D,C,B,C,C,D,E,E,A,B,A
#8E155FC4,D,D,C,C,C,B,B,B,B,C,D,D,D,D,B,A
#8E19FB6C,B,A,C,C,A,B,C,D,C,B,C,C,C,C,B,A
#8E6C6A88,,,C,C,A,D,B,B,C,C,D,C,E,A,B,A
#8E78FB0D,D,D,C,C,A,B,B,B,E,E,D,C,C,C,B,A
#8E85D6DD,A,,A,,A,B,A,B,,,,,A,A,A,A
