Clicker ID,L1710171359_Q1,L1710171359_Q2,L1710171359_Q3,L1710171359_Q4,L1710171359_Q5,L1710171359_Q6,L1710171359_Q7,L1710171359_Q8,L1710171359_Q9,L1710171359_Q10,L1710171359_Q11,L1710171359_Q12,L1710171359_Q13,L1710171359_Q14,L1710171359_Q15,L1710171359_Q16,L1710171359_Q17,L1710171359_Q18,L1710171359_Q19,L1710171359_Q20
#012CF9D4,B,B,A,A,D,C,B,E,C,D,B,D,A,B,D,D,A,D,A,A
#82F23545,B,B,A,A,D,C,B,B,C,D,D,D,B,B,D,D,D,D,A,A
#837DAA54,A,B,A,A,D,C,A,E,A,A,A,A,B,B,D,D,C,C,A,A
#839D1D03,B,B,A,A,D,C,D,D,A,D,D,D,B,B,D,D,D,D,B,A
#8425BE1F,A,B,A,A,B,E,B,B,B,C,D,C,C,D,B,D,A,C,C,B
#84522BFD,B,B,A,A,D,C,A,A,D,D,B,B,A,A,B,B,D,D,A,A
#8477798A,C,D,A,C,D,C,B,B,D,D,C,C,B,B,A,D,D,D,A,A
#84E9204D,B,B,A,A,D,C,D,A,D,D,D,D,B,B,C,D,D,D,C,C
#85FB740A,B,B,A,A,D,C,A,A,D,D,B,B,E,B,D,D,D,D,A,A
#8954B36E,B,B,A,A,D,C,E,E,E,D,B,B,B,B,D,D,D,D,A,A
#8AAEF8DC,B,B,A,A,D,C,A,A,D,D,C,D,A,E,D,D,D,D,A,A
#8DF1DEA2,B,B,A,A,D,C,B,B,B,B,A,A,B,B,B,B,B,B,E,E
#8DF2AFD0,A,B,C,B,,,,,,,,,,,,,,,,
#8DFDB2C2,B,B,A,C,D,C,B,A,B,B,D,D,A,D,B,B,B,B,D,D
#8E155FC4,C,B,A,A,D,C,B,D,A,C,C,B,B,B,B,B,C,D,B,A
#8E19FB6C,,C,C,A,C,C,B,D,B,B,A,B,B,,A,C,B,D,C,B
#8E6C6A88,B,B,A,A,D,C,E,E,C,D,D,D,E,B,D,D,D,D,A,B
#8E78FB0D,C,B,A,A,C,C,C,E,D,C,A,D,B,B,A,D,C,D,E,E
#8E85D6DD,A,B,A,A,D,E,B,B,A,D,D,B,A,B,C,B,B,A,B,B
#8EE298F4,,A,D,D,C,C,B,C,B,B,B,A,B,B,A,C,C,C,B,B
#8F5175AB,C,C,A,A,D,C,E,A,A,,A,D,B,B,D,D,C,D,B,A
#8FAE7455,B,B,A,A,D,C,D,A,C,D,D,D,A,B,A,D,C,D,B,A
#90348327,B,B,A,A,D,C,A,A,C,D,B,B,B,B,D,D,D,D,A,A
#91177EF8,A,A,B,,C,C,C,D,B,E,C,A,D,,A,,B,C,B,
#9139CF67,B,B,D,A,D,C,C,A,C,C,C,D,B,B,A,D,B,D,A,A
#96820014,,,A,A,D,C,A,C,A,A,A,B,B,B,D,A,C,D,C,C
#969B636E,C,C,A,A,D,C,A,A,A,D,B,B,D,B,D,D,D,C,B,A
#969BB8B5,B,B,A,A,D,C,A,A,A,D,D,D,B,B,D,D,D,D,A,A
#96A695A5,B,B,A,A,D,C,A,A,C,D,D,D,B,,D,D,D,D,A,A
#96B4C9EB,B,B,A,A,D,C,A,A,D,D,D,D,B,B,D,D,D,D,B,B
#96DA1F53,B,B,A,A,D,C,C,A,B,C,C,C,D,B,B,B,A,D,B,A
#97CA3964,C,C,A,A,D,C,A,A,C,B,B,D,B,B,D,D,D,D,B,B
#982CDC68,B,B,A,A,D,B,B,A,C,C,A,A,C,B,D,B,D,D,A,A
#98305BF3,B,B,A,A,E,C,A,A,C,A,,E,A,A,D,D,A,D,A,A
#98B13C15,B,B,A,A,D,C,A,A,C,D,D,D,B,B,D,D,D,D,A,A
#98FDD1B4,B,,A,A,D,B,A,B,B,C,D,C,,,,,,,,
