Clicker ID,L1710191356_Q1,L1710191356_Q2,L1710191356_Q3,L1710191356_Q4,L1710191356_Q5,L1710191356_Q6,L1710191356_Q7,L1710191356_Q8
#012CF9D4,C,C,D,D,B,A,C,D
#8273D829,D,D,B,B,A,B,A,A
#82F23545,B,B,A,B,C,B,E,E
#837DAA54,C,C,B,A,B,D,E,E
#839D1D03,C,C,C,D,A,B,C,C
#8425BE1F,B,B,A,B,B,A,B,B
#84522BFD,C,C,D,D,B,B,D,D
#8477798A,C,C,C,B,C,B,B,B
#84E9204D,B,B,E,B,B,B,D,D
#8954B36E,A,A,D,D,B,B,E,E
#8A500CD6,C,C,E,B,B,B,,
#8AAEF8DC,B,B,E,E,B,B,C,C
#8DF1DEA2,,,A,D,B,B,C,C
#8DF2AFD0,,,C,C,B,B,C,C
#8DFDB2C2,C,C,D,E,B,B,D,D
#8E155FC4,E,E,C,B,C,B,E,E
#8E6C6A88,B,B,D,B,B,B,D,E
#8E78FB0D,,,C,B,A,B,D,D
#8E85D6DD,B,B,B,A,A,A,B,B
#8F5175AB,B,B,E,E,A,B,D,D
#8FAE7455,C,C,E,D,A,A,D,D
#91177EF8,,,,,B,,B,C
#9139CF67,D,D,B,B,B,B,B,B
#96820014,A,A,C,E,B,B,E,E
#969B636E,B,E,B,A,C,C,E,E
#969BB8B5,A,A,D,D,B,C,C,E
#96A695A5,A,A,D,B,A,B,E,E
#96B4C9EB,A,A,C,D,B,B,E,E
#96DA1F53,C,C,D,B,A,B,A,C
#97CA3964,A,A,D,D,B,B,D,D
#9811840D,D,C,C,D,B,A,E,D
#982CDC68,,,,,B,B,D,D
#98305BF3,,,A,A,A,A,D,D
#98B13C15,B,B,C,D,B,A,C,D
#993DD074,B,B,D,E,B,B,E,D
#99964649,B,B,B,D,C,C,D,D
#9A2C2593,C,C,E,E,C,B,C,D
#9A2EF246,B,E,B,A,B,B,D,D
#9A2EFB4F,A,A,D,D,B,B,E,C
#9A33D871,,,,D,A,A,E,D
#9A3DE344,,,B,A,B,,B,D
#9A55F639,,,C,A,B,B,C,C
#9A73B35A,C,B,A,B,B,B,E,D
#9A7D6285,B,B,D,D,B,B,A,C
#9A8BA1B0,B,B,A,B,B,B,E,E
#9AB3D4FD,B,B,A,B,B,B,C,E
#9B71C228,B,B,D,D,B,B,E,E
#9B78D033,B,B,D,B,B,,C,E
#9B7909EB,E,E,D,E,B,B,E,E
#9D4D23F3,B,B,E,C,A,B,C,D
#9D5AC80F,E,D,B,D,A,B,A,A
#9D6742B8,B,B,E,D,B,B,E,E
#9D799175,A,A,B,B,D,B,E,A
#9D958D85,C,C,D,D,D,,C,C
#9D9F494B,B,B,C,D,B,B,D,E
#9DAE0734,B,B,D,D,B,B,E,E
#9F216ED0,C,C,D,B,B,B,C,D
#9F3272DF,B,B,D,D,B,B,D,E
#A024FD79,C,C,E,D,B,B,C,C
#A027A621,A,A,D,D,B,B,A,B
#A227C441,A,A,D,D,D,B,E,E
#A2445CBA,D,C,B,A,B,B,D,C
#A245AD4A,,A,D,B,D,D,E,D
#A258D329,B,,A,E,A,B,A,E
#A259BB40,A,A,B,D,B,B,E,C
#A57A9C43,B,B,D,D,C,B,C,C
#A91572CE,A,A,D,D,A,A,E,D
#ABDF90E4,D,D,D,D,D,B,C,
