Clicker ID,L1711081152_Q1,L1711081152_Q2,L1711081152_Q3,L1711081152_Q4,L1711081152_Q5,L1711081152_Q6,L1711081152_Q7,L1711081152_Q8,L1711081152_Q9,L1711081152_Q10,L1711081152_Q11,L1711081152_Q12,L1711081152_Q13,L1711081152_Q14
#3B3F999D,A,C,B,B,A,B,C,B,B,C,B,B,C,C
#820D3EB1,C,B,B,B,C,C,C,C,D,D,B,,B,A
#82E25F3F,C,,B,B,B,,D,D,C,C,B,B,C,D
#830226A7,B,C,B,,A,B,C,,B,A,C,B,C,E
#8304B334,D,D,B,B,C,C,D,D,E,C,B,B,A,C
#839D1E00,B,C,B,B,A,A,D,D,D,D,B,B,E,A
#841D45DC,C,C,B,,D,D,C,C,C,C,B,B,C,B
#851C4FD6,B,C,A,B,C,C,C,B,C,C,B,B,C,C
#852E248F,C,C,B,B,B,B,A,A,B,D,B,B,A,A
#85342B9A,C,C,B,,A,A,B,B,C,B,B,,A,A
#854B18D6,C,C,C,,D,B,A,A,C,C,C,C,A,A
#85B13703,C,C,B,B,A,B,A,A,B,B,A,B,A,A
#85E98EE2,B,C,B,B,A,A,C,C,D,C,B,B,C,C
#8612D642,C,C,B,B,B,B,B,B,D,D,B,B,C,C
#8638AE10,B,C,B,B,A,B,B,B,C,C,C,B,B,C
#87C9E0AE,C,C,B,B,B,B,D,D,B,C,B,B,C,C
#8818CF5F,C,C,C,C,B,C,A,A,D,C,B,B,A,A
#892D3397,A,B,B,B,B,,B,,B,B,B,B,B,C
#893F3385,A,D,B,A,C,B,C,A,B,C,B,B,A,B
#8951D008,,,,,,B,A,B,D,D,B,B,C,A
#899C0217,A,A,A,A,D,D,D,D,C,C,C,,B,B
#89EC3E5B,C,B,B,B,C,E,B,B,C,C,B,B,B,C
#8A65DA35,C,C,B,B,B,D,A,A,D,D,B,B,B,A
#8A71FB00,C,C,B,B,B,B,B,B,C,C,B,B,A,C
#8A885D5F,C,C,B,B,B,A,C,C,C,A,B,B,C,B
#8AB9A192,,B,B,,C,,B,B,C,C,B,B,C,C
#8DB95064,B,B,B,,D,C,C,C,D,C,C,C,B,A
#8E6D9C7F,,,,A,A,A,D,D,B,,B,B,B,B
#8FA189A7,B,B,B,B,D,C,B,C,B,B,C,C,B,C
#8FC9B9FF,B,B,C,B,A,A,A,A,C,C,B,B,C,C
#906C9D61,C,C,B,B,D,B,A,A,D,D,B,B,C,C
#9681FCEB,,,,,B,B,C,C,D,C,C,C,A,B
#969BE8E5,C,E,C,B,C,A,D,D,C,C,B,B,A,A
#96DAC18D,B,B,B,B,A,B,B,B,B,C,B,B,A,C
#973B6BC7,B,B,B,B,E,B,D,D,C,C,B,B,D,C
#982E5EE8,C,C,B,B,B,B,A,A,D,D,B,B,A,A
#98303890,B,C,A,B,A,B,B,C,C,C,C,B,C,B
#98F5E78A,C,C,B,B,E,A,B,B,B,B,B,B,C,C
#98F60C62,C,B,C,B,B,C,B,A,C,C,B,B,A,B
#98F7CCA3,C,C,B,B,C,B,C,C,C,C,B,B,B,B
#98FA2A48,C,C,B,B,A,B,A,A,C,C,B,B,B,C
#9A3C2F89,,,,,,,,,C,D,C,C,B,C
#9A3F40E5,C,C,B,B,C,A,C,E,C,C,A,B,B,A
#9A4230E8,,,,,,,,,B,C,B,B,C,C
#9A57A66B,D,D,B,B,A,B,A,A,C,C,B,B,A,D
#9A953D32,A,A,A,B,C,B,A,A,A,A,A,A,A,B
#9A982123,C,C,B,B,A,A,B,E,B,C,B,B,B,C
#9AAFB683,B,B,B,B,C,B,C,C,C,C,B,B,B,C
#9AB20E26,B,C,B,B,D,C,B,C,C,C,D,C,C,B
#9ABBC1E0,B,B,B,B,C,C,B,D,C,C,B,B,C,A
#9ABEB195,A,C,B,B,C,B,A,D,B,B,B,B,C,C
#9B86170A,C,C,B,B,A,B,A,A,C,B,B,B,A,A
#9B87A1BD,B,C,B,B,C,C,D,C,A,C,C,C,C,B
#9B9B0A0A,B,A,A,,,B,C,B,A,A,B,B,A,A
#9BA01A21,,,,,,,A,C,C,C,B,B,C,C
#9D564289,C,C,B,B,B,A,B,D,C,C,B,B,B,B
#9D71E70B,B,C,B,B,A,A,C,C,C,C,A,B,E,A
#9D895743,C,C,B,B,D,C,B,D,C,C,B,B,C,C
#9DD98DC9,B,C,B,B,A,C,C,C,D,D,C,B,C,C
#9DE0D0AD,C,B,A,C,A,B,B,B,D,B,B,B,C,A
#9DE73E44,B,C,B,B,C,C,C,C,C,C,C,C,C,B
#9DE9D8AC,C,C,B,B,A,D,C,C,C,C,E,B,C,C
#9EC97225,B,B,B,B,B,B,D,D,C,D,B,B,B,C
#9EDBBFFA,,B,B,B,A,A,B,C,C,C,B,B,C,C
#9F252A90,B,C,B,B,A,B,A,C,D,B,B,B,A,C
#9F290CBA,B,B,B,B,B,B,A,A,B,C,B,B,A,A
#9F2A0CB9,B,B,B,B,D,D,B,B,B,B,B,A,A,A
#9F345EF5,B,D,C,B,B,C,B,B,C,C,A,B,A,A
#9F3AE643,,,,B,C,C,B,B,B,B,B,B,C,C
#A10750F6,B,B,B,,D,C,C,C,D,D,B,B,A,A
#A223C948,B,C,A,B,C,C,,B,,C,B,B,,C
#A23B861F,C,C,B,B,D,D,D,D,C,C,B,B,A,C
#A244DD3B,A,A,B,B,C,,C,C,A,B,C,,A,A
#A25A9C64,C,B,B,B,B,,D,D,D,D,B,B,C,C
#A9D96616,C,B,C,B,B,B,C,C,B,B,B,B,C,C
