Clicker ID,L1711161400_Q1,L1711161400_Q2,L1711161400_Q3,L1711161400_Q4,L1711161400_Q5
#8273D829,A,A,B,B,C
#82F23545,D,D,B,C,C
#837DAA54,B,B,B,D,
#839D1D03,D,D,B,C,A
#83C3D797,A,A,A,A,A
#84522BFD,D,D,A,A,A
#84E9204D,D,D,B,A,A
#85FB740A,A,D,B,A,A
#8954B36E,D,D,B,A,A
#8AAEF8DC,D,D,B,C,A
#8DFDB2C2,A,A,B,C,C
#8E155FC4,E,D,B,A,A
#8E6C6A88,D,D,B,A,A
#8E78FB0D,A,A,A,C,B
#8E85D6DD,B,B,B,B,C
#8F5175AB,C,D,,A,E
#8FAE7455,D,D,B,A,A
#91177EF8,,,,A,
#9139CF67,D,D,C,B,A
#96820014,A,C,B,A,A
#969B636E,D,D,C,A,A
#969BB8B5,A,D,B,B,A
#96A695A5,D,D,B,A,A
#96B4C9EB,D,D,B,E,A
#97CA3964,D,,C,C,C
#9811840D,D,D,B,A,A
#98305BF3,D,D,C,C,A
#98B13C15,D,D,B,E,A
#98FDD1B4,A,E,A,A,A
#993DD074,D,D,B,A,A
#99964649,D,D,A,,A
#9A2C2593,B,D,B,C,A
#9A2EF246,,,C,A,A
#9A2EFB4F,D,D,B,A,A
#9A33D871,D,D,B,B,A
#9A55F639,,,C,C,D
#9A626991,,B,B,A,
#9A73B35A,A,D,C,A,A
#9A7D6285,D,D,B,C,A
#9A8BA1B0,D,D,A,A,A
#9A9E3531,D,D,B,B,A
#9AB3D4FD,A,D,B,E,A
#9B71C228,A,D,A,A,A
#9B78D033,D,D,B,A,
#9B7909EB,D,D,E,A,A
#9D5AC80F,,A,B,B,B
#9D6742B8,D,D,B,C,A
#9D799175,A,B,B,A,B
#9D958D85,A,A,A,B,E
#9D9F494B,D,D,B,A,A
#9DA84A7F,E,E,C,B,A
#9DAE0734,,,E,A,A
#9F216ED0,D,D,B,A,A
#A027A621,C,C,B,C,C
#A227C441,E,D,B,A,A
#A2445CBA,C,D,B,B,A
#A245AD4A,D,D,C,B,A
#A24BA940,,,,A,A
#A258D329,B,D,E,C,C
#A259BB40,B,D,B,A,A
#A57A9C43,D,D,B,A,A
#ABDF90E4,D,A,A,,B
