Clicker ID,L1712071408_Q1,L1712071408_Q2,L1712071408_Q3,L1712071408_Q4,L1712071408_Q5,L1712071408_Q6,L1712071408_Q7,L1712071408_Q8,L1712071408_Q9
#012CF9D4,B,B,C,C,B,B,C,D,B
#82F23545,B,C,B,C,A,C,B,D,D
#837DAA54,C,C,C,,B,C,C,A,B
#839D1D03,C,C,C,C,B,B,B,A,B
#83C3D797,,B,B,A,A,B,A,A,B
#84522BFD,C,C,B,B,B,B,C,A,D
#84E9204D,B,C,B,C,B,D,B,D,D
#85FB740A,D,B,C,C,C,C,B,C,D
#8954B36E,D,C,C,C,B,A,B,D,A
#8A1433AD,,,C,C,A,D,D,C,C
#8AAEF8DC,B,C,C,C,A,B,B,C,A
#8DF1DEA2,A,E,C,C,C,B,B,A,A
#8DF2AFD0,C,C,C,C,C,C,D,C,C
#8DFDB2C2,,,A,C,,C,C,B,B
#8E155FC4,A,B,B,C,A,C,B,B,A
#8E19FB6C,C,C,A,C,B,B,B,B,B
#8E6C6A88,C,C,B,C,B,C,C,C,C
#8E78FB0D,B,,B,B,B,B,B,E,E
#8F5175AB,D,C,B,B,B,B,B,C,D
#8FAE7455,B,C,C,C,C,A,B,D,D
#91177EF8,B,B,C,A,C,A,B,A,A
#96820014,C,B,B,D,,B,D,B,
#969B636E,C,C,B,C,,C,C,B,B
#969BB8B5,D,C,A,C,A,B,C,A,C
#96A695A5,C,B,A,B,C,A,B,C,C
#9811840D,B,C,B,C,B,B,B,C,D
#982CDC68,A,B,A,A,A,A,A,A,B
#98B13C15,C,B,B,C,C,C,B,D,D
#993DD074,B,C,C,C,C,C,B,D,D
#998DD0C4,A,A,A,,B,B,C,C,B
#9A2C2593,B,B,B,C,,C,B,C,D
#9A2EF246,D,C,B,C,,C,C,B,
#9A2EFB4F,B,B,B,C,A,B,B,D,D
#9A33D871,B,B,C,C,C,C,B,C,D
#9A626991,C,C,C,C,,B,B,B,A
#9A73B35A,B,B,C,C,C,B,A,C,D
#9A7D6285,B,B,B,B,B,C,C,D,D
#9A9E3531,C,C,B,A,A,C,B,C,C
#9AB3D4FD,C,D,C,B,C,C,C,D,C
#9B71C228,A,C,C,C,A,B,B,C,C
#9B78D033,A,,A,C,,B,A,C,D
#9B7909EB,C,C,C,C,,C,C,C,B
#9B9FA2A6,C,B,C,C,B,B,C,A,B
#9D4D23F3,C,B,C,C,B,B,A,D,D
#9D6742B8,B,C,B,C,C,C,C,C,C
#9D799175,C,C,C,C,,B,B,B,B
#9D958D85,C,C,C,C,C,C,C,C,D
#9D9F494B,B,B,B,B,B,B,B,B,D
#9F216ED0,C,B,C,C,C,B,B,D,D
#9F3272DF,C,C,B,C,B,B,B,D,B
#A024FD79,,,A,B,C,A,B,A,C
#A027A621,C,B,,C,C,,C,D,B
#A227C441,C,B,B,C,C,B,B,D,D
#A23B861F,C,B,C,C,B,A,A,E,C
#A2445CBA,C,E,B,B,C,C,C,B,D
#A245AD4A,D,B,C,C,B,C,B,D,D
#A24BA940,,,,B,B,C,C,C,C
#A258D329,B,B,B,C,A,A,C,A,B
#A91572CE,,B,B,C,C,C,B,D,D
#ABDF90E4,C,C,B,C,C,B,C,C,B
