Clicker ID,L1704111355_Q1,L1704111355_Q2,L1704111355_Q3,L1704111355_Q4,L1704111355_Q5,L1704111355_Q6,L1704111355_Q7,L1704111355_Q8,L1704111355_Q9,L1704111355_Q10,L1704111355_Q11,L1704111355_Q12,L1704111355_Q13,L1704111355_Q14,L1704111355_Q15,L1704111355_Q16,L1704111355_Q17,L1704111355_Q18,L1704111355_Q19
#012CF9D4,C,B,C,C,,E,A,,C,B,C,C,C,C,B,B,A,A,D
#06E851BF,B,B,C,C,C,A,A,A,C,C,C,C,C,C,B,B,C,D,D
#39758DC1,B,A,,C,C,A,A,A,C,C,D,D,C,D,B,B,C,D,D
#3E0E6656,B,B,C,C,C,A,A,A,A,B,C,C,C,C,C,B,A,C,D
#802BA40F,B,B,C,C,C,A,A,A,C,C,D,D,C,C,B,B,C,D,D
#819DD5C9,B,B,C,C,C,A,A,A,C,C,A,,C,C,B,B,A,D,D
#82961602,,,A,C,C,C,A,A,C,C,C,C,A,A,B,B,A,E,E
#82A25E7E,B,A,E,C,C,A,A,A,C,C,D,D,D,D,C,B,A,E,D
#82DBA5FC,A,A,C,C,C,A,A,A,E,C,D,D,C,C,C,C,C,A,D
#82E06103,E,A,E,C,C,A,A,A,C,C,D,D,B,C,C,B,C,C,D
#831568FE,C,B,A,C,C,C,C,C,C,C,C,C,C,C,C,C,,,
#8418168A,A,B,C,C,C,A,A,,A,C,D,C,C,C,E,B,A,E,D
#84202480,A,A,D,C,C,E,A,A,C,C,D,D,C,C,B,B,A,C,D
#842643E1,D,,C,C,B,A,A,A,C,C,E,D,C,C,B,B,C,D,D
#84451DDC,A,A,C,C,C,A,A,A,C,,D,D,C,C,B,B,A,C,C
#847057A3,A,A,C,C,C,C,,A,C,C,B,B,A,C,B,B,A,C,C
#847630C2,B,B,E,,C,B,A,A,C,C,E,D,C,C,A,A,A,D,D
#84A73211,C,B,E,E,E,A,A,A,C,C,B,E,C,C,B,A,A,A,D
#84AF6F44,A,A,C,C,C,B,A,A,C,C,D,D,B,C,B,C,A,B,A
#851C4FD6,A,B,D,,C,B,B,B,C,C,C,C,D,D,A,,A,D,C
#8527C567,B,B,E,C,C,A,A,A,C,C,A,D,C,D,C,C,A,A,D
#85B35E68,A,A,C,,C,D,A,A,C,C,D,,C,C,B,B,B,E,D
#8634C87A,B,B,C,C,C,A,A,A,C,C,D,D,C,C,B,B,A,D,D
#8673C431,A,A,C,C,C,E,A,A,C,C,E,E,C,C,B,B,A,D,D
#88304BF3,C,B,E,E,C,C,B,B,C,C,D,D,C,C,A,C,A,C,C
