Clicker ID,L1704181121_Q1,L1704181121_Q2,L1704181121_Q3,L1704181121_Q4,L1704181121_Q5,L1704181121_Q6,L1704181121_Q7,L1704181121_Q8,L1704181121_Q9,L1704181121_Q10,L1704181121_Q11,L1704181121_Q12,L1704181121_Q13,L1704181121_Q14,L1704181121_Q15,L1704181121_Q16
#012CF9D4,D,,B,,A,B,B,B,D,E,E,B,B,A,B,D
#06E851BF,B,E,,A,B,B,B,B,D,D,D,C,B,A,C,C
#39758DC1,C,C,A,A,D,E,D,C,D,B,C,B,B,A,D,D
#3E0E6656,C,C,B,B,B,A,B,B,D,D,E,B,B,A,B,B
#802BA40F,C,C,A,A,C,B,B,B,D,D,D,B,B,A,B,B
#819DD5C9,B,B,A,A,D,B,B,B,D,D,E,B,B,A,D,D
#82A25E7E,C,C,A,A,B,B,C,C,C,C,D,B,B,A,A,A
#82DBA5FC,C,C,A,A,B,A,D,C,C,D,D,B,B,A,D,D
#82E06103,C,C,A,B,B,B,B,C,D,C,C,B,B,A,B,B
#8418168A,B,B,A,A,E,B,B,B,D,D,E,B,B,A,D,D
#84202480,C,C,A,A,B,B,D,B,C,D,D,B,B,A,D,D
#842643E1,C,C,B,,B,B,B,C,D,C,C,B,B,A,D,B
#84451DDC,C,C,A,A,B,B,B,C,D,C,D,B,B,A,C,C
#847630C2,E,D,A,A,D,B,C,C,D,D,C,B,B,A,A,A
#84A73211,B,C,A,B,B,,,B,D,D,D,B,,A,B,D
#84AF6F44,C,C,B,B,B,B,B,,D,B,C,B,B,A,C,C
#8527C567,,C,A,D,E,B,D,E,D,D,D,B,,A,D,
#85B35E68,E,B,B,B,B,B,E,B,D,D,D,B,B,A,A,B
#8634C87A,C,C,B,B,D,B,B,B,E,C,E,B,B,A,D,D
#8673C431,C,E,A,A,D,B,D,B,C,C,E,B,B,A,D,D
#88304BF3,B,E,B,B,D,D,D,D,D,D,D,B,B,A,D,D
#88498243,B,C,D,D,D,B,C,B,D,B,E,B,B,B,C,C
#88852924,C,C,B,B,B,B,C,C,D,B,C,B,B,A,C,D
#88D21F45,B,C,D,A,D,D,C,B,D,D,C,A,B,A,D,D
#88F85727,,,D,D,D,B,B,C,D,C,,B,B,A,D,
#89019C14,B,C,A,A,B,B,B,B,D,C,D,B,B,A,D,D
#8901D75F,E,C,B,B,B,B,C,C,D,E,C,B,B,A,D,D
#89887B7A,A,E,B,B,D,D,D,D,D,D,C,B,B,A,B,C
#8A4E10D4,B,C,D,D,D,,B,C,D,B,D,B,B,A,D,
#8AF17902,E,C,A,A,B,A,C,C,C,D,D,B,B,A,D,C
#8B180F9C,C,C,A,A,B,B,C,,D,C,D,B,B,A,D,D
#8B187BE8,A,C,A,B,B,B,D,C,C,E,D,B,B,A,D,C
#8B3AF243,C,C,B,B,B,B,B,E,D,C,C,B,B,A,D,D
#8B6CDC3B,A,C,B,A,E,B,B,B,C,D,E,B,B,A,D,D
#8DC46128,C,D,A,A,A,A,A,A,A,B,A,A,B,C,B,A
#8DF11569,B,C,A,A,B,B,C,C,D,E,E,B,B,A,D,D
#8DF81065,B,C,C,C,E,B,B,B,D,C,D,B,B,A,B,C
#8DFAA0D7,C,C,A,A,C,B,B,B,D,C,C,B,B,A,D,D
#8E0FB233,C,C,D,D,D,B,A,B,D,C,C,B,B,,D,D
#8E18F462,C,B,B,B,B,B,C,C,D,C,E,B,B,E,D,D
#8E19FA6D,A,C,B,B,C,C,C,B,D,D,D,B,B,A,A,A
#8E1B37A2,,,A,A,B,B,B,C,E,C,C,B,,A,B,B
#8E69D334,D,C,B,B,D,,C,B,D,B,D,B,B,A,D,D
#8E881513,B,C,D,D,D,B,D,D,D,C,E,B,B,A,D,D
#8E9E0D1D,A,,A,A,D,C,B,B,D,D,A,A,A,B,A,D
#8EB71128,C,C,B,B,B,A,D,C,D,E,D,B,B,A,C,C
#8FAADAFF,E,C,B,B,A,B,D,C,D,A,C,A,B,A,D,
#906EE21C,B,C,A,A,D,E,B,B,D,D,C,B,B,A,C,C
#907007E7,D,C,A,B,B,B,B,B,D,D,D,A,B,A,A,D
#90726082,C,B,A,B,B,B,B,B,D,D,D,B,B,A,D,D
#90C5A6F3,,,C,,B,B,C,C,D,D,D,B,B,A,D,C
#90EA5228,C,C,B,A,E,B,A,C,D,D,D,B,B,B,C,D
#9139D57D,B,B,B,,B,B,C,C,D,D,E,B,B,A,D,D
#9147EC3A,B,C,B,,B,,C,B,D,C,E,B,B,A,A,A
#915C36FB,C,C,B,B,A,B,D,D,D,C,C,B,B,A,C,D
#916251A2,A,C,A,D,B,B,D,C,D,B,B,B,B,A,D,D
#916E758A,C,C,D,D,A,B,A,B,D,D,C,B,B,A,B,
#916EE31C,A,C,B,B,D,B,B,B,D,D,D,B,B,A,D,A
#930E40DD,B,B,A,A,B,B,D,D,D,C,E,B,B,A,D,D
#93129C1D,D,E,B,B,D,B,D,B,E,D,C,A,B,A,B,B
#9322E958,B,B,A,A,B,B,C,C,C,B,D,A,B,A,D,D
#9574E302,C,C,C,B,C,E,B,C,B,,C,A,B,A,D,D
#962F823B,C,C,A,A,B,B,E,B,C,E,E,B,B,A,B,B
#969C5A50,D,E,B,B,D,D,C,D,D,D,D,B,B,A,C,C
#969F4E47,E,E,B,B,A,A,C,C,D,D,C,B,B,A,D,D
#969F6069,B,C,D,B,B,B,D,D,D,D,D,B,B,A,D,D
#96FEBFD7,C,C,B,B,B,A,D,C,D,D,D,B,B,A,C,C
#97387CD3,C,C,B,B,A,A,A,B,D,E,C,B,B,A,D,D
#974B19C5,E,E,B,B,B,B,B,B,D,D,D,B,B,A,D,D
#974B4995,C,C,A,B,B,B,D,C,D,C,C,B,B,A,B,D
#974E4099,C,,A,A,B,,C,C,D,E,E,B,B,A,D,D
#974F33EB,A,E,B,A,B,B,B,B,D,D,E,B,B,A,B,D
#97C40D5E,C,E,D,D,B,B,A,B,D,B,C,B,B,A,B,D
#97C90957,B,C,B,B,B,B,D,D,D,D,D,B,,A,D,D
#97C95C02,A,C,B,A,D,B,A,B,D,A,C,B,B,A,D,D
#97F13C5A,C,E,A,A,B,B,C,C,D,D,D,B,B,A,D,D
#982ACA78,,,B,D,B,B,B,B,C,D,C,B,B,B,D,D
#982BBA09,C,C,B,B,A,B,A,C,D,C,B,B,A,C,B,A
#982E49FF,C,C,D,B,A,B,A,C,D,B,D,B,B,C,A,A
#982EA315,C,C,A,A,B,B,B,B,D,C,C,B,B,A,D,D
#982EE650,C,C,A,B,D,C,C,C,D,B,D,B,B,A,A,A
#982FC176,A,A,A,A,D,D,B,B,A,C,A,A,B,B,A,A
#98305FF7,D,C,D,B,D,D,D,C,D,C,E,C,C,A,D,D
#9832309A,B,E,B,D,B,B,D,B,D,B,C,B,B,A,D,D
#98329C36,B,C,A,B,B,B,C,B,D,D,E,B,B,A,D,D
#9837A00F,C,C,B,B,B,B,D,C,C,D,E,B,B,A,B,B
#98387FDF,,,A,,,,,,,,,,,,,
#98F5432E,,,,A,E,,C,C,E,C,C,B,B,A,A,B
#98F87616,C,B,B,,A,B,D,C,D,D,E,B,C,A,D,D
#9925E458,B,C,A,A,B,B,D,D,D,C,C,D,B,A,B,D
#99328823,C,C,A,A,B,,C,C,D,D,D,B,B,A,D,D
#996B23D1,D,C,A,A,C,B,B,B,D,D,C,B,B,A,B,D
#999A6E6D,D,D,E,D,E,E,C,A,C,B,D,A,A,A,A,C
#9A172EA3,C,C,A,A,B,B,D,C,,C,C,B,B,A,B,
#9A1F0E8B,C,C,B,B,B,B,C,C,D,B,E,B,B,A,D,D
#9A233881,B,C,A,A,B,B,C,C,D,C,C,B,B,A,D,D
#9A27328F,C,C,A,A,B,B,D,C,E,C,C,B,B,A,D,D
#9A2B3283,B,C,B,C,D,D,B,C,B,D,E,B,B,B,D,D
#9A2DFB4C,B,C,B,A,E,B,C,B,C,C,C,B,B,A,D,D
#9A3E5DF9,C,C,A,A,D,B,C,B,D,A,D,A,B,A,B,B
#9A40E238,A,C,A,A,B,B,C,C,D,C,C,B,B,A,D,D
#9A4530EF,C,C,A,B,B,B,C,C,D,C,C,B,B,A,D,D
#9A542AE4,,,,,,,,,,,,B,B,A,B,B
#9A565B97,B,C,A,B,B,B,B,B,D,D,C,E,B,A,B,B
#9A705FB5,B,D,B,A,B,B,C,C,D,C,C,B,B,A,D,D
#9A735EB7,A,C,A,C,B,B,D,C,D,D,D,B,B,A,D,D
#9A75719E,B,E,A,A,D,B,C,C,D,B,C,B,B,B,D,D
#9A7742AF,C,C,A,A,B,B,D,E,C,D,D,B,B,A,D,
#9A7FEA0F,B,,B,B,B,B,A,C,D,C,C,B,B,A,C,C
#9A81918A,C,C,A,B,B,B,A,C,E,D,C,B,B,A,D,D
#9A8B3C2D,B,C,A,A,B,B,D,D,D,B,E,B,B,A,C,D
#9A94636D,A,C,A,A,B,B,C,D,D,D,C,B,B,A,D,D
