Clicker ID,L1704201356_Q1,L1704201356_Q2,L1704201356_Q3,L1704201356_Q4,L1704201356_Q5,L1704201356_Q6,L1704201356_Q7,L1704201356_Q8,L1704201356_Q9,L1704201356_Q10,L1704201356_Q11,L1704201356_Q12,L1704201356_Q13
#06E851BF,C,C,C,C,B,C,B,C,C,B,A,D,C
#39758DC1,A,D,D,D,A,A,C,C,B,B,A,D,C
#802BA40F,B,B,C,D,A,A,B,C,B,B,A,D,C
#819DD5C9,A,A,C,C,A,C,C,D,B,B,A,D,C
#82A25E7E,A,A,C,C,A,E,C,C,B,B,A,D,C
#82DBA5FC,A,D,D,D,A,A,A,A,D,C,A,E,C
#82E06103,B,B,B,C,B,A,C,C,B,B,A,D,C
#8418168A,,,C,C,C,C,A,A,B,B,A,D,C
#84202480,A,C,D,C,C,C,A,A,D,B,C,D,C
#842643E1,B,B,D,C,C,A,A,C,C,B,A,D,C
#84451DDC,D,C,C,C,A,C,B,A,C,C,A,D,C
#847057A3,A,A,C,C,B,E,C,C,A,B,A,D,C
#847630C2,B,C,C,C,B,A,B,A,C,B,A,D,C
#84A73211,D,D,D,D,A,E,C,A,B,B,A,D,C
#84AF6F44,C,C,C,C,A,C,A,C,A,C,A,D,C
#8527C567,A,A,C,D,B,C,A,C,B,B,A,D,C
#85B35E68,B,A,C,D,C,A,C,C,B,B,A,D,C
#8673C431,A,C,D,C,C,A,A,C,B,B,A,D,C
#88304BF3,B,B,B,C,A,A,C,C,C,C,A,D,C
#88498243,D,A,C,C,C,E,C,C,B,B,A,D,C
#88852924,D,D,B,C,,A,B,C,C,B,A,D,C
#88D21F45,C,C,C,D,C,C,C,A,B,A,A,D,C
#88F65927,A,A,C,C,A,A,A,A,A,B,A,A,C
#88F85727,D,A,C,,A,C,B,C,B,B,,C,C
#89019C14,C,E,C,C,C,C,C,A,B,B,A,D,C
#8901D75F,D,D,A,C,A,C,D,C,B,B,A,D,C
#89063EB1,A,A,D,C,A,A,A,A,B,B,C,D,C
#89887B7A,B,D,B,B,C,C,B,B,A,B,A,D,E
#8A4E10D4,A,A,C,C,A,A,D,,C,B,A,D,C
#8AF17902,,,,,A,A,C,C,D,A,C,D,E
#8B180F9C,B,D,D,D,C,C,D,D,A,B,A,D,C
#8B187BE8,A,A,C,C,C,C,C,C,A,B,A,D,C
#8B6CDC3B,A,A,C,C,A,E,C,C,B,B,A,D,C
#8DF11569,E,E,C,D,D,C,E,C,B,B,A,E,C
#8DF81065,B,B,D,C,C,C,A,A,D,B,A,D,C
#8DFAA0D7,C,A,C,C,C,C,B,C,D,B,A,D,C
#8E0FB233,A,A,C,C,D,A,D,A,A,B,A,E,B
#8E18F462,A,A,C,C,A,E,C,C,B,B,D,D,A
#8E19FA6D,B,B,C,C,A,A,D,D,A,,D,D,E
#8E1B37A2,C,D,C,B,A,C,C,C,B,B,A,D,C
#8E69D334,C,C,D,D,B,B,A,A,B,,C,C,C
#8E881513,A,A,C,C,C,C,A,C,A,B,A,D,E
#8E99FEE9,C,C,C,C,A,C,B,C,C,B,A,D,E
#8E9E0D1D,A,A,C,B,A,A,A,A,A,B,D,D,C
#8F474C84,D,E,C,C,A,E,C,C,B,B,A,D,C
#8FAADAFF,D,D,C,C,C,C,B,A,A,A,B,D,C
#906EE21C,D,D,C,D,C,C,A,A,A,A,A,D,C
#907007E7,B,A,A,C,A,A,B,C,B,B,A,D,C
#90726082,A,A,C,C,B,C,C,C,B,B,A,D,C
#90C5A6F3,D,D,C,C,C,E,D,C,C,,D,C,C
#9147EC3A,D,B,C,C,D,E,C,C,B,,A,D,C
#915C36FB,B,C,C,C,A,A,C,C,C,B,A,D,C
#916251A2,A,A,B,B,A,A,D,C,B,B,A,D,C
#916E758A,A,A,A,C,C,A,E,A,A,B,C,D,C
#916EE31C,A,A,B,D,C,C,A,A,B,B,A,D,C
#930E40DD,C,E,D,D,A,C,C,C,B,B,A,D,C
#93129C1D,B,A,C,C,D,E,A,A,B,B,A,D,C
#9322E958,A,C,C,C,C,,A,A,B,B,D,D,C
#9574E302,B,B,A,D,A,A,A,C,B,B,A,D,C
#962F823B,A,A,C,C,C,E,A,C,C,B,A,D,B
#969C5A50,A,A,D,B,A,A,C,C,B,B,A,D,C
#969F4E47,A,A,A,C,B,D,A,C,B,A,C,C,C
#969F6069,B,D,A,C,C,C,A,A,A,C,A,D,C
#96E0E99F,D,D,A,D,D,A,A,,B,C,A,,C
#97387CD3,C,C,C,C,C,C,D,C,B,,A,D,C
#974B19C5,A,D,D,D,C,C,D,C,C,A,A,D,C
#974B4995,D,A,D,D,C,C,D,C,C,B,A,D,C
#974E4099,A,,C,C,C,C,E,C,B,,A,D,C
#974F33EB,A,A,A,A,A,A,A,A,C,C,C,A,E
#97C4D586,C,C,D,C,C,C,B,A,B,,A,D,C
#97C90957,A,B,D,C,D,C,A,A,D,B,A,D,C
#97C95C02,D,C,B,C,A,A,A,A,A,C,C,D,C
#97F13C5A,A,C,C,C,C,C,C,B,C,C,A,D,C
#982ACA78,,,A,C,D,C,C,C,B,B,A,D,C
#982BBA09,B,B,B,C,B,,C,C,C,C,A,C,B
#982E49FF,A,A,C,C,A,E,C,C,A,B,A,D,C
#982EA315,B,E,B,C,A,C,B,A,B,B,A,D,E
#982EE650,D,C,D,C,C,E,D,C,B,B,A,D,C
#982FC176,A,A,A,,A,A,A,A,A,A,D,C,C
#98305FF7,C,D,A,C,A,A,C,A,A,B,A,D,C
#98329C36,C,C,A,C,C,E,C,C,B,B,A,D,C
#9837A00F,A,A,C,C,C,C,C,E,B,B,A,D,E
#9925E458,A,A,C,C,C,E,C,C,B,B,A,B,C
#99328823,A,A,C,C,E,E,C,C,B,B,A,D,C
#996B23D1,,,,,A,C,B,B,B,B,C,C,C
#999A6E6D,A,A,A,C,A,A,A,A,A,A,A,A,A
#9A172EA3,B,D,A,A,C,C,A,C,D,A,D,D,C
#9A1AD757,D,A,C,C,C,E,A,A,A,B,A,D,C
#9A1F0E8B,C,C,C,C,C,E,C,C,B,B,A,D,C
#9A233881,A,A,C,C,A,A,A,A,A,A,A,A,A
#9A27328F,A,A,D,D,C,E,A,C,B,B,A,D,C
#9A2B3283,D,D,C,C,B,A,B,A,B,C,D,D,C
#9A2DFB4C,D,A,D,C,B,C,B,C,A,D,A,D,C
#9A3E5DF9,A,A,A,C,C,A,C,A,C,C,A,C,C
#9A40E238,A,A,C,D,C,C,C,C,B,B,A,D,C
#9A542AE4,,,C,C,A,A,D,C,B,B,A,D,C
#9A565B97,A,A,A,A,D,D,C,C,B,B,A,D,D
#9A705FB5,C,B,A,A,C,C,C,C,B,A,A,D,C
#9A735EB7,D,A,A,C,C,A,A,A,,B,A,D,C
#9A75719E,A,A,A,C,A,A,D,A,A,B,B,C,D
#9A7742AF,D,A,C,D,C,C,A,C,B,B,A,D,C
#9A7FEA0F,D,D,B,B,B,B,C,C,D,,D,D,A
#9A81918A,D,B,C,C,C,A,A,C,B,B,A,D,C
#9A8B3C2D,D,A,C,C,D,C,A,C,A,B,A,D,C
#9A94636D,D,C,D,C,A,A,B,C,B,B,A,D,C
#9A99B8BB,C,D,C,C,A,C,D,E,C,C,A,D,C
#9A9C5355,A,B,D,D,C,C,C,C,C,B,A,D,C
#9A9CE4E2,A,A,D,C,D,E,C,,A,B,A,D,C
#9AA2320A,,,,,B,B,A,A,B,B,A,D,C
#9AA2350D,B,B,C,A,C,C,B,C,B,,C,D,C
#9AA30E37,A,C,C,C,C,C,B,B,B,B,C,D,B
#9AAF182D,D,B,C,D,A,A,D,C,B,B,A,D,E
#9AB0416B,C,A,D,D,E,E,A,C,B,B,A,D,C
#9ACA0151,B,A,A,C,C,A,C,A,A,B,C,D,C
#9ACFAAFF,A,A,B,C,B,A,C,A,C,C,A,D,
#9AD68BC7,C,C,C,C,C,E,D,C,B,B,A,D,C
#9B0A61F0,A,A,B,B,E,C,A,C,C,B,B,D,A
#9B7145AF,A,A,C,C,A,E,D,D,B,B,A,D,C
#9B7B2ACA,D,,D,D,B,A,A,C,D,B,A,D,C
#9B8D7563,,B,A,C,C,A,C,C,D,B,A,D,C
#9B94313E,A,,C,,A,A,E,C,A,C,A,D,C
#9B9E5752,,,,,,,,C,B,B,A,D,C
#9D4F7DAF,A,A,C,C,A,A,A,A,A,B,A,D,C
#9D533AF4,A,A,C,C,C,C,E,C,A,B,A,D,C
#9D7208E7,A,A,C,C,C,C,A,C,C,B,A,D,C
#9D798E6A,A,A,A,A,C,C,D,C,B,B,A,D,C
#9DB394BA,A,A,C,C,C,E,C,C,B,B,A,D,C
#9EB85472,A,A,C,C,C,C,C,C,B,B,A,D,C
