Clicker ID,L1705161358_Q1,L1705161358_Q2,L1705161358_Q3,L1705161358_Q4,L1705161358_Q5,L1705161358_Q6,L1705161358_Q7,L1705161358_Q8,L1705161358_Q9
#39758DC1,A,D,B,C,B,E,A,D,C
#3E0E6656,A,B,B,C,B,B,C,,B
#802BA40F,A,D,B,B,B,B,C,B,C
#819DD5C9,C,E,C,C,B,B,C,A,B
#82A25E7E,A,D,C,C,B,C,B,C,C
#82DBA5FC,E,E,A,C,B,C,C,C,E
#82E06103,A,D,A,C,B,A,C,D,D
#8418168A,B,,A,,C,B,B,B,C
#84202480,C,C,B,C,B,B,C,B,B
#842643E1,B,D,C,C,B,C,C,D,D
#84451DDC,B,B,B,C,B,A,A,C,C
#847057A3,A,D,C,C,B,D,B,D,C
#847630C2,A,D,C,C,B,B,B,B,B
#84AF6F44,B,A,C,C,B,B,B,C,C
#8527C567,C,C,B,C,D,E,B,A,C
#85B35E68,B,D,B,B,B,C,C,C,C
#8634C87A,E,A,B,B,B,D,B,C,C
#8673C431,B,D,B,C,B,B,C,C,C
#88304BF3,A,B,B,B,D,C,C,B,B
#88498243,B,A,C,C,C,E,B,B,B
#88852924,D,D,C,C,B,E,B,D,D
#88D21F45,B,B,C,C,B,C,A,A,A
#89019C14,A,B,C,C,B,C,C,D,D
#8901D75F,B,D,C,C,B,C,,B,D
#89063EB1,A,C,B,B,B,C,D,B,B
#89887B7A,A,A,D,D,C,A,A,D,D
#8AF17902,A,C,A,C,A,C,C,D,D
#8B180F9C,C,B,C,C,B,C,B,C,D
#8B187BE8,B,B,C,C,A,D,B,C,
#8B6CDC3B,C,D,C,C,B,B,B,C,C
#8DC46128,B,A,A,B,B,B,B,B,A
#8DF11569,A,E,C,B,B,C,C,C,C
#8E18F462,B,A,C,C,B,D,B,C,C
#8E1B37A2,A,A,D,D,B,E,C,A,A
#8E881513,C,D,B,C,B,D,B,D,A
#8E8E9494,C,D,B,,B,D,C,C,C
#8E99FEE9,B,B,B,C,C,D,C,A,E
#8E9E0D1D,A,D,B,B,D,D,A,C,C
#8F474C84,E,E,C,C,B,C,C,C,C
#8FAADAFF,C,C,B,B,A,A,B,C,D
#906EE21C,B,B,C,C,B,B,A,C,A
#907007E7,C,A,C,C,B,D,B,C,C
#90726082,A,A,,,B,B,B,B,C
#90EA5228,B,C,B,B,B,B,B,A,C
#9139D57D,C,B,C,C,B,C,C,C,C
#9147EC3A,A,A,C,C,B,C,B,C,C
#915C36FB,B,C,B,C,C,C,A,C,D
#916251A2,A,D,C,C,B,B,B,B,C
#916E758A,C,C,D,D,C,B,D,D,D
#916EE31C,C,B,A,B,B,B,B,D,D
#930E40DD,,D,C,C,B,C,C,C,C
#93129C1D,C,A,B,C,C,A,B,D,C
#9574E302,A,E,C,C,B,C,C,C,C
#969C5A50,C,C,B,C,B,B,,B,B
#969F4E47,C,C,C,C,C,D,D,B,B
#969F6069,C,B,B,B,D,C,C,B,B
#97387CD3,A,,C,C,B,B,B,C,C
#974B19C5,B,B,C,C,B,B,B,D,D
#974E4099,A,A,C,B,B,C,B,D,D
#974F33EB,B,B,C,C,D,D,,A,
#975062A5,B,D,C,D,B,B,,D,D
#97C40D5E,A,A,C,C,B,C,E,D,D
#97C4D586,A,D,C,C,C,B,B,A,C
#97C90957,A,D,C,C,B,C,B,B,B
#97C95C02,C,C,B,B,B,A,A,A,A
#97F13C5A,B,B,D,C,B,D,B,A,C
#982ACA78,B,B,B,C,B,B,E,,B
#982E49FF,C,A,C,D,B,D,B,C,E
#982EA315,C,C,B,C,B,B,E,B,B
#982EE650,B,D,B,C,A,B,C,B,B
#982FC176,C,C,B,A,B,C,A,,
#98305FF7,B,B,B,C,C,B,A,A,A
#98329C36,C,D,C,C,B,B,B,D,D
#9837A00F,A,D,C,C,B,C,B,C,A
#98F87616,A,D,C,C,B,B,B,C,
#99328823,B,D,C,,B,B,B,C,C
#996B23D1,B,C,C,C,,,,,
#9999B9B9,A,A,B,C,B,A,A,A,A
#999A6E6D,A,C,A,A,A,A,A,A,A
#9A233881,B,B,B,B,B,B,B,B,B
#9A27328F,C,A,A,,A,A,,A,C
#9A2B3283,B,C,B,C,C,C,A,C,C
#9A3E5DF9,D,B,B,E,B,B,B,C,C
#9A40E238,A,B,A,B,B,B,B,C,D
#9A4530EF,B,D,C,C,B,A,B,C,C
#9A542AE4,C,B,C,C,B,D,E,B,B
#9A565B97,D,D,C,C,B,D,B,B,B
#9A735EB7,C,A,C,C,B,E,E,A,A
#9A75719E,B,B,B,D,B,A,A,A,C
#9A7742AF,B,D,D,C,B,C,C,C,D
#9A7FEA0F,C,D,B,,C,D,D,C,C
#9A81918A,D,D,C,C,B,B,C,C,C
#9A8B3C2D,C,D,C,C,B,B,B,C,E
#9A94636D,C,C,C,C,B,D,C,C,D
#9A99B8BB,C,B,C,C,C,D,B,D,D
#9A9CE4E2,A,A,B,C,B,C,C,C,C
#9AA2320A,C,B,B,C,A,A,A,B,B
#9AA2350D,C,C,B,B,C,B,C,C,
#9AA30E37,B,D,B,C,C,C,C,C,D
