Clicker ID,L1705181358_Q1,L1705181358_Q2,L1705181358_Q3,L1705181358_Q4,L1705181358_Q5,L1705181358_Q6,L1705181358_Q7,L1705181358_Q8
#012CF9D4,B,D,A,B,C,C,C,B
#39758DC1,C,C,C,B,E,A,A,B
#3E0E6656,C,C,B,B,D,C,A,E
#802BA40F,C,C,B,B,C,D,C,B
#810230B3,,,,,,,C,
#819DD5C9,C,C,C,C,A,E,C,C
#82A25E7E,D,D,B,B,B,C,B,E
#82DBA5FC,B,B,B,,E,C,C,A
#82E06103,C,C,B,B,A,C,A,A
#8418168A,D,D,C,C,B,C,B,B
#84202480,B,D,B,B,D,C,A,A
#842643E1,B,C,C,B,A,C,A,A
#84451DDC,C,C,B,B,B,B,A,A
#847057A3,A,C,B,B,C,C,E,E
#847630C2,B,B,B,C,A,C,B,A
#84AF6F44,A,C,B,B,B,B,A,D
#851C4FD6,E,D,C,B,C,C,C,B
#85B35E68,B,B,B,A,C,D,B,B
#8673C431,D,D,B,B,E,A,C,C
#874C804B,,E,C,B,C,C,E,B
#88304BF3,B,D,B,B,B,C,A,E
#88498243,D,D,B,B,C,C,B,E
#88852924,D,D,B,B,C,C,D,E
#88D21F45,B,C,C,B,C,C,A,E
#88F65927,A,D,B,B,C,C,A,A
#88F85727,,,C,B,C,C,A,A
#89019C14,C,D,C,B,C,C,C,A
#8901D75F,B,D,B,B,A,C,C,E
#89063EB1,B,B,B,B,C,C,C,A
#89887B7A,A,C,C,C,B,C,D,D
#8A4E10D4,B,,C,C,C,D,D,A
#8AF17902,A,B,B,B,A,C,A,B
#8B180F9C,C,B,B,B,C,C,B,E
#8B187BE8,B,C,A,B,D,B,C,A
#8B6CDC3B,B,C,B,B,C,C,A,A
#8DF11569,D,D,B,B,E,E,A,E
#8DF81065,C,C,B,B,C,C,C,C
#8DFAA0D7,D,D,B,B,C,C,A,E
#8E18F462,D,C,C,B,C,,A,E
#8E1B37A2,C,C,B,B,A,A,A,A
