Clicker ID,L1705231401_Q1,L1705231401_Q2,L1705231401_Q3,L1705231401_Q4,L1705231401_Q5,L1705231401_Q6
#012CF9D4,A,D,B,B,C,A
#06E851BF,D,C,B,C,B,A
#39758DC1,D,D,D,A,B,A
#802BA40F,C,C,B,A,B,A
#819DD5C9,B,D,A,A,B,C
#82A25E7E,D,D,A,E,B,A
#82DBA5FC,D,D,D,D,B,A
#82E06103,D,D,B,B,B,A
#8418168A,D,D,A,A,B,C
#84202480,D,D,B,B,B,E
#842643E1,D,D,B,B,B,E
#84451DDC,D,D,B,B,B,A
#847057A3,A,A,B,B,B,A
#847630C2,D,D,A,A,B,A
#84AF6F44,D,D,,B,B,A
#851C4FD6,D,D,C,A,B,A
#85B35E68,,,,,B,A
#8634C87A,D,D,A,A,B,A
#8673C431,C,C,C,A,B,A
#874C804B,,,,,C,A
#88304BF3,A,B,C,C,B,C
#88498243,C,A,D,A,C,
#88852924,,,C,C,B,A
#88D21F45,C,D,B,B,B,A
#88F85727,,,,,C,C
#89019C14,D,D,C,B,B,E
#89063EB1,,,B,C,C,A
#89887B7A,D,D,A,A,B,A
#8A4E10D4,,D,B,,B,C
#8AF17902,A,A,B,D,B,A
#8B180F9C,D,D,B,B,B,A
#8B187BE8,,D,A,A,B,A
#8B3AF243,D,D,B,B,B,A
#8B6CDC3B,D,D,B,B,B,A
#8DF11569,D,D,D,B,B,A
#8DF81065,A,D,A,B,B,A
#8DFAA0D7,A,A,C,C,B,A
#8E18F462,D,D,C,C,B,A
#8E1B37A2,,,A,A,B,A
#8E881513,D,D,B,B,B,A
#8E8E9494,D,D,D,D,C,C
#8E99FEE9,,,A,C,B,A
#8E9E0D1D,,C,C,B,B,
#8F474C84,,,,,B,A
#8FAADAFF,A,D,A,A,A,A
#906EE21C,D,D,C,B,,A
#907007E7,B,D,A,C,B,A
#90726082,A,D,C,C,B,A
#9139D57D,C,C,B,B,C,
#9147EC3A,A,A,A,A,B,A
#915C36FB,B,D,B,B,C,A
#916251A2,D,D,A,A,C,A
#916E758A,D,D,A,B,B,A
#916EE31C,D,D,A,A,B,C
#930E40DD,D,D,D,B,B,A
#93129C1D,A,A,B,B,C,C
#9574E302,,,A,B,B,A
#962F823B,D,D,B,B,B,A
#969C5A50,A,D,A,A,B,A
#969F4E47,A,A,A,A,C,A
#969F6069,A,A,D,C,B,B
#96E0E99F,A,D,B,A,B,A
#97387CD3,D,D,A,A,B,A
#974E4099,D,D,B,D,B,C
#974F33EB,D,D,D,C,B,
#97C40D5E,D,D,C,A,B,A
#97C4D586,C,D,A,B,B,
#97C90957,E,D,C,C,B,A
#97C95C02,D,D,B,B,B,A
#97F13C5A,D,D,B,B,B,C
#982E49FF,,D,B,A,B,C
#982EA315,,,A,C,B,A
#982EE650,D,A,D,D,C,A
#982FC176,,D,B,B,A,
#98305FF7,,B,C,C,B,C
#9832309A,A,D,A,C,B,A
#98329C36,D,D,C,C,B,A
#9837A00F,D,D,A,B,B,A
#983A74D6,A,B,A,C,,A
#98F5432E,,,A,A,B,B
#98F87616,,,A,A,B,
#9925E458,D,D,B,B,B,A
#99328823,D,,B,B,B,A
#996B23D1,B,A,A,C,B,A
#999A6E6D,A,A,A,A,A,A
#9A1AD757,D,D,B,B,C,A
#9A1F0E8B,D,D,C,C,B,A
#9A233881,A,A,A,A,A,A
#9A27328F,D,D,B,B,B,A
#9A2B3283,A,A,B,C,B,B
#9A2DFB4C,A,D,A,C,B,A
#9A3E5DF9,,D,A,A,B,A
#9A40E238,D,D,A,A,B,A
#9A4530EF,D,D,B,B,B,A
#9A565B97,D,D,,,B,A
#9A705FB5,D,D,B,B,B,A
#9A735EB7,D,D,B,B,B,A
#9A75719E,D,D,A,A,B,A
#9A7742AF,D,D,B,B,B,C
#9A7FEA0F,B,D,D,D,C,A
#9A81918A,C,D,D,B,C,A
#9A8B3C2D,D,D,B,B,B,A
#9A94636D,,D,B,B,E,A
#9A99B8BB,D,D,B,B,B,A
#9A9C5355,A,D,B,B,B,B
#9A9CE4E2,A,D,D,D,C,C
#9AA2320A,A,C,B,B,B,A
#9AA2350D,D,D,B,B,B,A
#9AAF182D,D,D,A,A,B,A
#9AB0416B,D,D,B,B,B,A
#9ACA0151,,,A,A,C,A
#9ACFAAFF,D,D,B,B,B,A
#9AD68BC7,D,D,B,C,B,A
#9B0A61F0,D,D,A,A,B,B
#9B7145AF,A,D,,B,B,A
#9B7B2ACA,B,D,A,A,A,C
#9B9E5752,D,D,B,B,B,A
#9D4F7DAF,A,A,C,C,C,A
#9D533AF4,A,D,,A,B,A
#9D7208E7,D,D,C,C,B,A
#9D798E6A,D,D,B,B,B,A
#9EB85472,D,D,B,B,B,A
#9EF15936,A,D,A,A,A,A
#9F25DB61,A,D,B,B,A,A
#9F276DD5,D,D,B,B,,
#9F27843C,A,D,B,A,B,A
#A24DB35C,B,C,A,A,B,A
#A497794A,D,D,A,B,B,A
#A592AB9C,A,B,B,B,B,B
#A5CF167C,B,D,B,B,B,A
#A6A9535C,D,,B,B,B,A
