Clicker ID,L1705251358_Q1,L1705251358_Q2,L1705251358_Q3,L1705251358_Q4,L1705251358_Q5,L1705251358_Q6,L1705251358_Q7,L1705251358_Q8,L1705251358_Q9,L1705251358_Q10
#012CF9D4,B,,B,B,,,,,,
#39758DC1,D,B,B,C,D,D,E,E,C,C
#802BA40F,B,A,B,B,A,D,A,A,A,A
#819DD5C9,B,B,B,E,C,C,D,D,B,B
#82A25E7E,A,A,C,E,E,B,E,E,C,B
#82DBA5FC,B,A,C,E,D,D,D,D,B,B
#82E06103,A,A,C,C,D,D,A,A,A,C
#8418168A,C,,D,E,B,B,C,A,C,C
#84202480,A,A,E,E,B,B,E,E,C,C
#842643E1,A,,B,B,D,D,C,A,A,A
#84451DDC,D,B,C,B,B,B,B,B,,
#847057A3,B,B,A,E,E,B,E,E,C,C
#84AF6F44,C,B,A,B,D,B,E,E,D,B
#8527C567,B,A,B,E,D,E,D,E,B,D
#85B35E68,A,A,A,B,B,D,D,D,C,C
#8673C431,A,A,B,B,B,B,E,E,E,E
#874C804B,C,C,D,E,B,B,D,D,A,B
#88304BF3,B,A,A,C,C,D,C,E,C,C
#88498243,B,B,B,E,D,B,E,E,A,A
#88852924,B,B,E,E,B,B,E,E,A,B
#88D21F45,A,B,C,E,D,B,D,E,D,B
#88F65927,A,A,C,,E,D,B,E,A,C
#89019C14,B,B,E,E,B,B,E,E,C,C
#89063EB1,C,B,A,C,D,E,E,E,A,C
#89887B7A,A,D,B,B,A,D,D,E,B,B
#8A4E10D4,,,B,E,D,B,D,D,B,B
#8AF17902,C,A,B,E,D,D,D,D,E,E
#8B180F9C,A,A,E,E,E,E,E,E,C,C
#8B187BE8,D,B,A,B,B,A,E,A,B,B
#8B6CDC3B,A,A,E,E,D,B,E,E,C,C
#8DC46128,,,B,B,A,A,B,A,A,A
#8DF11569,A,A,B,E,D,B,E,E,D,E
#8DF81065,B,A,B,B,B,B,E,E,D,E
#8DFAA0D7,B,B,B,E,E,E,B,E,B,B
#8E18F462,B,A,C,E,B,B,E,E,B,A
#8E1B37A2,D,D,A,B,E,D,A,A,C,C
#8E881513,B,,B,B,C,D,E,E,B,C
#8E99FEE9,A,,A,E,D,B,B,E,C,B
#8E9E0D1D,A,A,B,B,E,E,D,E,E,C
#8F474C84,A,A,E,E,E,B,D,E,C,C
#8FAADAFF,A,A,A,E,,,,,,
#906EE21C,A,B,B,E,D,B,C,E,C,B
#907007E7,A,A,C,C,A,B,B,D,B,B
#90726082,A,A,C,C,B,B,E,E,,C
#90EA5228,A,A,E,B,E,B,E,E,B,B
#9139D57D,C,,E,E,E,B,E,E,C,
#9147EC3A,A,E,E,E,D,B,E,E,E,E
#915C36FB,A,A,B,B,A,E,E,E,A,B
#916251A2,C,C,D,D,C,B,E,E,C,B
#916E758A,,D,B,B,,B,E,E,D,A
#916EE31C,A,A,C,C,E,D,E,E,A,C
#930E40DD,A,C,E,E,E,B,E,E,,C
#93129C1D,D,D,A,E,A,D,D,E,B,B
#9574E302,A,D,D,B,A,B,B,A,A,A
#969F4E47,B,B,B,A,D,D,D,C,D,D
#969F6069,C,A,A,B,D,D,E,E,B,B
#96E0E99F,C,A,C,E,C,D,D,D,B,C
#97387CD3,A,A,E,E,B,B,,E,C,
#974B19C5,A,B,C,E,D,B,E,E,A,A
#974B4995,A,,B,E,B,B,E,E,C,C
#974E4099,A,A,E,E,B,B,E,E,E,C
#974F33EB,B,A,D,B,D,D,E,E,C,C
#97C40D5E,A,A,B,A,A,B,B,,A,A
#97C90957,D,A,B,E,E,B,E,E,A,C
#97C95C02,A,A,A,B,D,D,E,E,C,C
#97F13C5A,A,A,B,B,C,B,D,B,B,B
#982ACA78,A,E,C,C,D,B,E,E,A,C
#982FC176,B,B,B,B,A,C,A,E,B,E
#9832309A,D,D,A,A,C,B,E,E,B,A
#98329C36,D,A,E,E,D,B,E,E,C,B
#9837A00F,A,A,D,E,E,B,E,E,B,C
#98F5432E,B,B,A,B,B,B,A,B,C,C
#98F87616,C,,B,E,E,B,C,C,A,C
#9925E458,A,A,E,E,B,E,D,E,B,B
#99328823,A,A,E,E,E,B,E,,A,C
#99351DB1,B,A,B,E,E,E,E,E,C,C
#999A6E6D,A,A,A,A,A,A,A,A,A,A
#9A1AD757,A,B,B,B,B,B,E,E,C,A
#9A233881,A,A,A,A,A,A,A,A,A,A
#9A27328F,A,A,E,E,B,B,E,E,D,D
#9A2B3283,B,B,B,B,A,A,B,B,B,B
#9A3E5DF9,B,A,B,E,B,B,E,E,A,A
#9A40E238,A,A,C,E,D,D,E,E,A,C
#9A542AE4,B,,A,B,E,,E,E,C,C
#9A565B97,B,B,E,E,E,B,E,E,E,C
#9A705FB5,A,A,D,B,B,B,E,E,B,C
#9A75719E,A,,A,A,E,B,,,,
#9A7742AF,A,A,E,E,E,E,E,E,C,D
#9A8B3C2D,A,A,E,E,C,E,A,D,B,C
#9A94636D,C,A,A,B,E,D,E,E,B,B
#9A99B8BB,B,A,E,E,E,B,E,E,C,C
#9A9CE4E2,A,A,B,E,E,D,B,B,B,B
#9AA2320A,B,A,A,A,C,A,A,A,A,A
#9AA30E37,B,A,B,B,D,D,A,E,C,C
#9ACA0151,B,D,B,A,C,B,E,E,A,A
#9ACFAAFF,A,A,E,E,E,B,E,E,E,E
#9AD68BC7,C,A,E,E,B,B,E,E,C,B
#9B0A61F0,C,B,A,E,D,D,B,E,D,E
#9B7145AF,A,A,B,E,E,B,E,E,E,D
#9B7B2ACA,A,D,B,B,B,E,E,E,C,D
#9B9E5752,B,A,B,B,D,E,E,E,C,C
#9D4F7DAF,A,C,E,E,B,E,E,E,D,D
#9D533AF4,A,A,E,E,B,B,E,E,C,B
#9D798E6A,A,A,B,E,E,E,E,E,A,B
#9DB394BA,B,B,B,B,B,E,E,E,D,D
#9EB85472,A,A,E,E,B,B,E,E,B,B
#9EF15936,A,A,A,A,,,,,,
#9F24C17A,A,A,E,E,E,B,E,E,B,C
#9F27843C,A,A,A,E,D,B,D,D,C,D
#A24DB35C,B,B,B,B,B,B,A,A,B,B
#A497794A,A,A,B,E,E,B,E,E,D,E
#A5CF167C,D,A,C,E,D,E,D,E,B,B
