Clicker ID,L1706011359_Q1,L1706011359_Q2,L1706011359_Q3,L1706011359_Q4,L1706011359_Q5,L1706011359_Q6,L1706011359_Q7,L1706011359_Q8,L1706011359_Q9,L1706011359_Q10,L1706011359_Q11
#39758DC1,C,C,A,B,B,C,C,B,D,C,C
#3E0E6656,C,C,C,B,C,C,C,B,B,D,D
#802BA40F,A,A,A,D,D,A,C,D,D,C,C
#819DD5C9,C,C,C,B,B,C,C,B,B,C,C
#82A25E7E,A,C,C,C,C,C,C,B,D,C,C
#82DBA5FC,B,B,B,D,D,C,C,E,E,C,
#82E06103,B,B,B,B,B,C,C,B,D,C,C
#84202480,C,,C,C,B,C,C,D,D,C,C
#842643E1,B,B,B,B,B,C,C,D,D,C,C
#84451DDC,B,C,C,A,B,B,C,D,D,C,C
#847057A3,A,A,A,A,C,D,C,B,A,D,C
#847630C2,B,B,B,B,B,C,C,B,B,C,C
#84AF6F44,A,A,A,C,C,B,C,C,D,C,C
#85B35E68,A,B,C,C,D,A,C,D,,C,C
#8673C431,A,B,A,C,C,C,C,D,D,D,C
#874C804B,D,D,B,B,B,B,C,B,D,C,C
#88304BF3,B,A,B,B,C,C,C,B,B,C,C
#88498243,A,A,A,D,C,C,C,D,D,C,C
#88852924,A,A,B,B,B,B,C,C,D,C,C
#88D21F45,B,A,B,B,B,D,C,C,D,C,C
#88F65927,A,D,C,B,D,C,B,A,B,B,C
#88F85727,C,A,B,B,B,C,,A,A,C,C
#89063EB1,B,B,B,A,C,A,D,B,D,D,C
#89887B7A,B,B,B,D,C,B,C,D,D,C,C
#8AF17902,,,,B,D,A,A,E,D,E,C
#8B180F9C,B,B,B,D,B,C,,B,D,C,
#8B187BE8,C,C,A,B,B,C,C,B,D,C,C
#8B3AF243,A,A,A,E,B,D,C,D,D,B,D
#8DF11569,A,A,A,C,C,B,C,D,E,B,C
#8E18F462,A,A,A,D,B,C,C,D,D,C,C
#8E1B37A2,B,B,B,C,D,C,C,C,C,D,D
#8E881513,A,A,B,A,A,B,C,B,B,E,C
#8E99FEE9,B,B,B,B,C,B,C,B,B,C,C
#8E9E0D1D,A,A,A,A,A,A,C,,,,
#8F474C84,,,,,,C,C,B,D,C,C
#8FAADAFF,B,B,B,A,A,A,A,B,D,B,D
#906EE21C,A,A,A,B,B,C,C,B,D,C,
#907007E7,B,B,B,B,B,B,C,D,A,D,C
#90726082,A,A,B,C,C,C,C,D,A,A,C
