Clicker ID,L1706061354_Q1,L1706061354_Q2,L1706061354_Q3,L1706061354_Q4,L1706061354_Q5,L1706061354_Q6,L1706061354_Q7,L1706061354_Q8,L1706061354_Q9,L1706061354_Q10,L1706061354_Q11,L1706061354_Q12
#012CF9D4,C,,B,B,D,E,,B,B,B,B,B
#39758DC1,A,A,D,B,E,E,B,A,C,C,C,C
#802BA40F,B,A,B,C,C,C,A,A,A,B,B,C
#819DD5C9,C,A,E,D,D,D,C,A,A,C,C,B
#82A25E7E,C,C,C,C,C,D,A,A,D,B,B,B
#82E06103,C,C,A,E,D,E,A,A,B,B,B,B
#8418168A,,,C,E,A,A,A,B,C,C,A,B
#84202480,D,D,D,B,A,A,D,B,B,C,B,B
#842643E1,C,C,E,E,D,E,A,A,A,B,B,B
#84451DDC,A,C,D,E,B,B,A,A,C,C,B,C
#847057A3,D,D,E,B,C,C,A,A,C,B,B,B
#847630C2,D,C,B,D,A,D,A,A,B,B,C,C
#84AF6F44,B,C,D,C,A,A,B,A,E,D,B,B
#85B35E68,,A,E,C,D,D,A,C,B,B,C,C
#8673C431,C,A,A,A,A,A,A,A,B,,C,B
#88304BF3,D,D,C,D,B,D,C,C,C,C,C,C
#88498243,C,C,D,B,D,A,B,A,B,D,C,C
#88D21F45,B,A,B,E,D,C,B,B,A,C,B,A
#88F65927,,A,B,C,A,B,A,,B,C,A,A
#88F85727,C,C,C,B,A,,C,C,A,C,B,B
#89019C14,D,D,C,C,E,A,B,B,C,C,A,B
#8901D75F,A,A,B,E,D,D,B,A,A,C,C,C
#89063EB1,A,A,D,E,D,D,A,C,B,C,B,B
#89887B7A,,,,,,C,,,,,,
#8A4E10D4,C,C,C,C,E,B,B,A,C,C,B,B
#8AF17902,,,C,B,B,B,D,D,B,B,C,C
#8B180F9C,C,C,B,D,A,A,C,A,D,C,B,B
#8B187BE8,D,C,C,C,D,D,B,A,A,D,B,C
#8B3AF243,A,C,B,B,D,D,C,C,C,C,B,B
#8B6CDC3B,C,D,C,B,A,A,A,A,D,D,C,C
#8DF11569,D,D,D,B,E,D,E,A,A,B,A,B
#8DFAA0D7,A,A,D,D,C,C,B,A,D,D,B,B
#8E18F462,C,C,D,E,D,D,A,A,D,D,C,C
#8E881513,B,B,C,C,A,A,B,B,C,,B,B
#8E8E9494,A,A,D,D,B,B,C,A,B,B,C,C
#8E99FEE9,C,C,D,D,C,B,B,C,A,B,B,B
#8F474C84,D,D,D,A,A,E,B,A,B,B,A,C
#906EE21C,E,E,B,E,C,C,B,B,C,C,B,A
#907007E7,A,A,A,C,A,A,B,B,C,C,A,B
#90726082,A,A,E,C,A,A,A,A,C,C,B,B
#90EA5228,A,,D,E,D,D,A,D,B,C,B,B
#9139D57D,C,,E,E,A,A,E,A,B,B,A,A
#9147EC3A,E,E,C,B,C,C,A,A,D,D,D,D
#915C36FB,C,A,C,C,C,C,B,A,B,B,B,C
#916E758A,A,D,B,E,A,A,A,A,B,B,B,A
#916EE31C,C,D,B,B,C,C,A,C,C,C,C,C
#930E40DD,D,D,A,B,A,D,C,A,B,B,A,C
#9574E302,A,B,C,D,C,A,,C,A,,A,B
#962F823B,D,D,E,B,A,A,C,D,E,E,C,C
#969C5A50,C,C,A,E,A,A,A,A,B,C,B,B
#969F4E47,A,A,E,E,B,B,B,B,C,C,C,C
#969F6069,A,D,D,D,D,D,A,D,C,C,C,C
#97387CD3,D,D,E,,A,A,D,A,C,C,B,
#974E4099,,,B,E,E,C,A,C,C,C,C,C
#974F33EB,C,A,B,E,A,A,C,A,B,B,C,C
#975062A5,C,B,A,D,C,C,B,B,B,E,B,D
#97C40D5E,A,A,B,E,C,C,B,D,B,D,D,C
#97C4D586,C,C,C,C,C,A,B,D,C,C,B,B
#97C90957,C,A,B,B,B,B,D,A,B,C,C,C
#97C95C02,,A,D,B,A,B,A,A,B,B,C,C
#97F13C5A,C,C,C,C,D,A,A,A,D,D,B,
#982ACA78,D,D,E,E,C,C,B,A,C,C,B,B
#982E49FF,A,B,C,C,C,,B,,C,C,C,C
#982EA315,C,A,E,D,B,B,A,A,C,C,C,B
#982EE650,D,A,B,B,D,D,D,B,C,,B,
#98305FF7,B,B,B,D,A,A,C,A,B,B,B,B
#9832309A,A,A,A,A,A,A,A,A,C,C,C,C
#98329C36,C,C,C,D,B,C,A,A,B,B,C,C
#9837A00F,C,C,C,C,D,D,C,B,C,C,C,B
#98F87616,D,D,E,C,D,D,B,A,,,,
#9925E458,,,E,E,D,D,A,B,C,C,B,B
#99328823,D,C,C,C,D,D,A,A,C,C,B,B
#9999B9B9,A,C,D,B,B,B,A,A,B,B,B,B
#999A6E6D,A,A,A,D,A,A,A,A,A,A,A,B
#9A1AD757,D,D,D,D,B,B,C,C,C,D,A,B
#9A1F0E8B,D,D,A,D,D,D,A,A,C,C,A,B
#9A233881,A,A,D,D,B,D,D,A,C,C,B,B
#9A27328F,A,A,D,C,A,A,A,A,B,C,C,C
#9A2B3283,C,C,E,B,C,C,C,C,C,B,B,B
#9A2DFB4C,C,A,E,E,D,D,A,D,C,C,C,C
#9A3E5DF9,A,D,B,C,C,A,A,,B,B,B,B
#9A40E238,D,D,B,B,D,C,A,A,C,C,A,C
#9A4530EF,A,A,B,C,B,B,A,A,C,B,C,C
#9A542AE4,C,A,B,E,B,B,C,A,B,C,B,B
#9A565B97,A,D,E,E,A,C,A,A,B,B,A,C
#9A705FB5,C,A,D,C,C,A,D,C,B,C,C,C
#9A735EB7,E,C,A,B,,B,A,A,B,B,B,B
#9A75719E,,A,C,A,B,B,B,A,B,B,B,B
