Clicker ID,1,2,3,4,5,6,7,8,9,10
#0E91CC53,B,B,A,A,C,C,B,C,C,A
#21FB70AA,B,B,C,A,A,D,C,C,C,A
#820AFE76,B,B,A,,B,E,E,C,C,B
#8289979C,C,B,A,A,D,C,C,C,C,B
#8295A7B0,B,B,A,A,C,C,B,C,C,B
#82C9ACE7,B,B,A,A,D,D,D,C,C,
#82CF88C5,B,B,A,A,C,C,C,C,C,A
#82F992E9,B,B,A,A,C,C,B,C,C,B
#8391B5A7,B,B,A,A,B,C,D,A,C,A
#83B2E9D8,B,B,A,A,D,C,B,C,E,B
#8430982C,,,,,,,,,,D
#846618FA,B,B,A,A,E,C,B,C,C,B
#84707682,B,B,B,B,C,C,B,C,E,B
#8473DE29,B,B,A,A,B,C,B,C,E,B
#84A61735,B,B,D,D,D,C,D,C,C,B
#84D44111,A,B,B,A,A,C,D,B,B,B
#84E62042,B,B,A,A,B,C,E,C,C,B
#84F92D50,B,B,A,A,C,C,D,C,C,B
#85011195,B,B,C,A,C,C,B,C,C,B
#850DA129,B,B,C,C,D,B,B,E,E,B
#8552E136,B,B,A,A,C,C,D,C,C,B
#85679C7E,B,B,C,A,D,B,D,C,C,B
#858DD9D1,B,B,A,A,A,A,A,A,C,B
#85AC163F,,,A,B,B,B,,B,B,A
#85D0A9FC,,,,,C,C,B,C,C,C
#8622EE4A,C,B,A,A,B,B,B,C,D,B
#8632F347,B,B,B,B,A,C,D,C,C,B
#86408E48,B,B,A,A,D,C,A,C,C,A
#87198E10,B,B,A,A,C,C,B,C,E,B
#88333C87,B,B,A,A,B,B,C,A,A,B
#885B30E3,B,B,A,B,C,C,C,E,D,B
#885B489B,B,B,C,A,B,C,B,C,E,A
#888F2C2B,B,B,A,A,C,C,B,C,E,A
#88A8FEDE,B,B,B,A,C,C,B,C,C,A
#88F92B5A,D,B,A,C,B,C,B,C,E,B
#89007AF3,B,B,C,A,C,C,C,C,C,A
#89BC0E3B,A,A,A,A,E,D,D,C,C,B
#8A13D74E,B,B,A,C,C,C,C,A,E,B
#8A58D002,B,B,A,A,D,B,A,C,C,A
#8A63EC05,B,B,A,A,C,C,D,A,D,B
#8A9CD5C3,B,B,A,A,C,C,B,C,C,B
#8AC91152,C,B,D,A,C,C,C,C,E,D
#8DB3033D,B,B,A,A,C,C,B,C,C,B
#8DC0BDF0,B,B,B,A,C,C,B,C,C,A
#8DCE7330,B,B,A,B,C,C,B,C,C,A
#8DEF482A,B,B,A,A,B,B,A,C,,A
#8DF96115,A,A,A,B,B,B,C,C,C,D
#8DFA1067,C,B,A,D,D,D,D,A,C,B
#8E0DE96A,B,B,A,A,C,C,B,C,C,B
#8E0E3FBF,B,B,A,A,C,C,B,E,C,B
#8E126FF3,B,B,A,A,C,C,B,D,C,A
#8E1540DB,A,B,A,B,A,A,A,A,A,A
#8E1558C3,A,B,C,A,A,C,B,C,C,A
#8E1656CE,B,B,A,A,C,,E,C,C,B
#8E1676EE,B,B,A,B,E,E,E,E,A,B
#8E16FC64,B,B,A,A,E,C,B,E,E,A
#8E1C35A7,A,B,A,A,B,A,B,D,D,B
#8E1CEB79,B,B,A,A,C,C,B,C,E,A
#8E5CD406,B,B,B,B,B,C,C,C,C,B
#8E6AEB0F,B,B,A,A,A,C,D,C,C,B
#8E6D54B7,B,,A,A,B,C,B,C,C,B
#8E6DD83B,B,B,A,A,D,B,B,A,C,A
#8E6F2ECF,B,B,B,B,C,C,B,C,C,B
#8E6F30D1,B,B,A,A,C,C,B,C,C,B
#8E757C87,B,B,A,A,C,C,B,C,,B
#8E7816E0,A,B,A,A,C,C,A,C,C,B
#8E78BD4B,B,B,B,A,A,C,B,C,C,
#8E7B8277,B,B,A,A,B,B,B,B,C,A
#8E7FCB3A,B,B,A,,C,C,B,D,E,B
#8E86ACA4,B,,D,,B,C,D,B,,B
#8E87F0F9,A,B,A,A,C,B,B,B,C,A
#8E88DDDB,B,B,A,A,B,D,D,C,C,B
#8E8F1A1B,B,B,A,A,B,C,C,D,D,A
#8EB47349,B,B,D,,D,A,C,A,C,
#8EC8CB8D,B,B,A,A,C,C,B,A,D,B
#8EE31D70,B,B,D,D,A,C,B,A,C,A
#8F5130EE,B,B,A,D,C,C,B,C,C,A
#8F80A8A7,B,B,B,B,C,C,B,C,C,
#8FA28DA0,B,B,A,A,A,C,B,C,C,A
#8FA4FCD7,B,B,A,A,C,C,B,C,C,D
#8FA50A20,B,B,A,A,D,E,D,B,E,A
#8FAA5772,B,B,B,A,D,D,D,B,D,B
#8FAB3410,,,,,C,C,B,C,C,A
#8FAE7455,B,B,B,B,B,C,B,C,E,E
#8FC9DC9A,B,B,D,D,A,C,B,C,C,B
#90222795,B,B,A,A,C,C,B,E,C,A
#905FF03F,B,B,A,B,D,C,B,D,E,B
#90646094,B,B,A,A,C,C,B,A,C,B
#90729173,B,B,C,A,B,C,C,D,E,A
#9081CBDA,C,B,D,A,C,C,E,B,C,C
#90D4DB9F,C,B,A,A,D,C,B,D,E,B
#91179610,B,B,A,A,C,C,B,C,E,A
#913908A0,B,B,A,A,C,C,B,C,C,A
#913D8E22,B,B,A,A,C,C,B,C,C,B
#913D9438,B,B,A,D,D,C,B,C,C,A
#9147EC3A,B,,A,,A,C,C,D,E,B
#91619F6F,B,B,A,A,C,C,B,B,B,D
#9161A757,B,B,A,A,C,C,B,A,C,B
#916A847F,B,B,A,A,C,C,B,C,C,B
#91707A9B,B,B,A,A,B,C,B,C,C,B
