Question,Clicker ID,Final Response
1,#012CF9D4,C
1,#39758DC1,A
1,#802BA40F,B
1,#819DD5C9,C
1,#82A25E7E,C
1,#82E06103,C
1,#8418168A,
1,#84202480,D
1,#842643E1,C
1,#84451DDC,A
1,#847057A3,D
1,#847630C2,D
1,#84AF6F44,B
1,#85B35E68,
1,#8673C431,C
1,#88304BF3,D
1,#88498243,C
1,#88D21F45,B
1,#88F65927,
1,#88F85727,C
1,#89019C14,D
1,#8901D75F,A
1,#89063EB1,A
1,#89887B7A,
1,#8A4E10D4,C
1,#8AF17902,
1,#8B180F9C,C
1,#8B187BE8,D
1,#8B3AF243,A
1,#8B6CDC3B,C
1,#8DF11569,D
1,#8DFAA0D7,A
1,#8E18F462,C
1,#8E881513,B
1,#8E8E9494,A
1,#8E99FEE9,C
1,#8F474C84,D
1,#906EE21C,E
1,#907007E7,A
1,#90726082,A
1,#90EA5228,A
1,#9139D57D,C
1,#9147EC3A,E
1,#915C36FB,C
1,#916E758A,A
1,#916EE31C,C
1,#930E40DD,D
1,#9574E302,A
1,#962F823B,D
1,#969C5A50,C
1,#969F4E47,A
1,#969F6069,A
1,#97387CD3,D
1,#974E4099,
1,#974F33EB,C
1,#975062A5,C
1,#97C40D5E,A
1,#97C4D586,C
1,#97C90957,C
1,#97C95C02,
1,#97F13C5A,C
1,#982ACA78,D
1,#982E49FF,A
1,#982EA315,C
1,#982EE650,D
1,#98305FF7,B
1,#9832309A,A
1,#98329C36,C
1,#9837A00F,C
1,#98F87616,D
1,#9925E458,
1,#99328823,D
1,#9999B9B9,A
1,#999A6E6D,A
1,#9A1AD757,D
1,#9A1F0E8B,D
1,#9A233881,A
1,#9A27328F,A
1,#9A2B3283,C
1,#9A2DFB4C,C
1,#9A3E5DF9,A
1,#9A40E238,D
1,#9A4530EF,A
1,#9A542AE4,C
1,#9A565B97,A
1,#9A705FB5,C
1,#9A735EB7,E
1,#9A75719E,
1,#9A7742AF,D
1,#9A7FEA0F,C
1,#9A8B3C2D,A
1,#9A94636D,D
1,#9A99B8BB,B
1,#9A9C5355,
1,#9A9CE4E2,C
1,#9AA2320A,A
1,#9AA2350D,A
1,#9AA30E37,
1,#9AB0416B,A
1,#9ACFAAFF,A
1,#9AD68BC7,C
1,#9B0A61F0,D
1,#9B7145AF,A
1,#9B7B2ACA,C
1,#9B8D7563,A
1,#9B9E5752,C
1,#9D4F7DAF,D
1,#9D533AF4,C
1,#9D7208E7,D
1,#9EB85472,A
1,#9F25DB61,
1,#9F276DD5,A
1,#9F27843C,
1,#A23A0F97,D
1,#A24DB35C,C
1,#A497794A,A
1,#A592AB9C,C
1,#A5CF167C,A
1,#A6A9535C,C
2,#012CF9D4,
2,#39758DC1,A
2,#802BA40F,A
2,#819DD5C9,A
2,#82A25E7E,C
2,#82E06103,C
2,#8418168A,
2,#84202480,D
2,#842643E1,C
2,#84451DDC,C
2,#847057A3,D
2,#847630C2,C
2,#84AF6F44,C
2,#85B35E68,A
2,#8673C431,A
2,#88304BF3,D
2,#88498243,C
2,#88D21F45,A
2,#88F65927,A
2,#88F85727,C
2,#89019C14,D
2,#8901D75F,A
2,#89063EB1,A
2,#89887B7A,
2,#8A4E10D4,C
2,#8AF17902,
2,#8B180F9C,C
2,#8B187BE8,C
2,#8B3AF243,C
2,#8B6CDC3B,D
2,#8DF11569,D
2,#8DFAA0D7,A
2,#8E18F462,C
2,#8E881513,B
2,#8E8E9494,A
2,#8E99FEE9,C
2,#8F474C84,D
2,#906EE21C,E
2,#907007E7,A
2,#90726082,A
2,#90EA5228,
2,#9139D57D,
2,#9147EC3A,E
2,#915C36FB,A
2,#916E758A,D
2,#916EE31C,D
2,#930E40DD,D
2,#9574E302,B
2,#962F823B,D
2,#969C5A50,C
2,#969F4E47,A
2,#969F6069,D
2,#97387CD3,D
2,#974E4099,
2,#974F33EB,A
2,#975062A5,B
2,#97C40D5E,A
2,#97C4D586,C
2,#97C90957,A
2,#97C95C02,A
2,#97F13C5A,C
2,#982ACA78,D
2,#982E49FF,B
2,#982EA315,A
2,#982EE650,A
2,#98305FF7,B
2,#9832309A,A
2,#98329C36,C
2,#9837A00F,C
2,#98F87616,D
2,#9925E458,
2,#99328823,C
2,#9999B9B9,C
2,#999A6E6D,A
2,#9A1AD757,D
2,#9A1F0E8B,D
2,#9A233881,A
2,#9A27328F,A
2,#9A2B3283,C
2,#9A2DFB4C,A
2,#9A3E5DF9,D
2,#9A40E238,D
2,#9A4530EF,A
2,#9A542AE4,A
2,#9A565B97,D
2,#9A705FB5,A
2,#9A735EB7,C
2,#9A75719E,A
2,#9A7742AF,A
2,#9A7FEA0F,A
2,#9A8B3C2D,A
2,#9A94636D,A
2,#9A99B8BB,C
2,#9A9C5355,C
2,#9A9CE4E2,C
2,#9AA2320A,A
2,#9AA2350D,A
2,#9AA30E37,
2,#9AB0416B,A
2,#9ACFAAFF,D
2,#9AD68BC7,D
2,#9B0A61F0,D
2,#9B7145AF,A
2,#9B7B2ACA,C
2,#9B8D7563,C
2,#9B9E5752,C
2,#9D4F7DAF,D
2,#9D533AF4,C
2,#9D7208E7,D
2,#9EB85472,D
2,#9F25DB61,A
2,#9F276DD5,A
2,#9F27843C,
2,#A23A0F97,D
2,#A24DB35C,A
2,#A497794A,A
2,#A592AB9C,C
2,#A5CF167C,A
2,#A6A9535C,
3,#012CF9D4,B
3,#39758DC1,D
3,#802BA40F,B
3,#819DD5C9,E
3,#82A25E7E,C
3,#82E06103,A
3,#8418168A,C
3,#84202480,D
3,#842643E1,E
3,#84451DDC,D
3,#847057A3,E
3,#847630C2,B
3,#84AF6F44,D
3,#85B35E68,E
3,#8673C431,A
3,#88304BF3,C
3,#88498243,D
3,#88D21F45,B
3,#88F65927,B
3,#88F85727,C
3,#89019C14,C
3,#8901D75F,B
3,#89063EB1,D
3,#89887B7A,
3,#8A4E10D4,C
3,#8AF17902,C
3,#8B180F9C,B
